1621351691
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      206.1   186.3    59.1    95.9   107.9   181.1   220.8   244.1   262.4   286.3   319.0   367.9   524.5  2280.6  7677.9  29945.8    30000
read      204.0   171.5    59.1    95.3   107.0   181.0   220.1   243.4   261.8   285.5   317.4   365.6   505.5  1743.1  6959.4  29986.4    30010
read      256.1   491.7    63.8    95.4   106.7   187.3   238.8   272.4   300.4   333.1   373.2   458.0  1202.5  7319.0 18979.8  29966.8    30020
read      504.8   939.8    59.1   112.5   134.9   294.0   365.4   417.4   470.4   559.9   714.6  2412.2  4355.3 11043.1 21643.7  29999.2    30030
read      567.7  1002.5    63.8   124.0   153.1   320.6   399.7   469.5   537.3   629.0   822.8  2597.5  4498.0 12457.6 23887.2  30043.1    30040
read      568.8   983.2    63.8   128.0   158.3   324.4   397.7   460.0   524.7   626.4   853.7  2614.3  4427.2 11662.5 20464.3  30034.8    30050
read      572.0   963.9    63.8   131.6   164.2   343.4   419.3   480.6   544.8   643.7   819.0  2631.2  4399.5 12177.0 20356.2  30013.4    30060
read      572.3   985.1    63.8   128.7   159.7   332.0   409.7   474.4   540.1   637.5   813.9  2686.9  4448.8 12302.6 20489.2  30049.5    30070
read      567.9   996.5    63.8   125.5   154.4   316.9   392.7   458.8   522.9   617.8   840.3  2733.8  4503.8 12367.0 20414.9  30161.6    30080
read      578.7   998.7    63.8   130.2   161.6   335.0   412.0   477.6   545.2   645.8   837.5  2783.9  4511.9 12252.4 20952.5  30107.2    30090
read      578.7   986.6    63.8   133.0   166.0   345.5   419.2   479.1   542.7   643.3   807.7  2814.0  4453.1 12056.4 21964.5  30125.5    30100
read      569.7   976.7    63.8   127.1   157.3   323.6   397.6   463.4   529.4   624.6   831.3  2858.2  4459.2  9853.1 20466.2  30131.8    30110
read      572.0  1025.5    63.8   123.1   151.1   308.8   385.5   454.9   521.1   615.8   858.9  2907.1  4500.8 12318.8 22045.3  30137.4    30120
read      576.3   993.9    63.8   130.6   162.6   332.6   405.7   470.1   535.7   632.3   821.9  2928.9  4452.9 12201.8 20426.2  30161.5    30130
read      255.5   478.9    59.1    92.3   104.0   187.1   237.2   269.6   294.7   326.9   370.9   458.1  1582.3  6313.3 17510.4  30066.3    30140
read      199.7   188.7    59.1    93.3   103.6   171.8   211.1   236.5   257.0   283.5   319.8   375.7   505.5  1807.0  8412.9  30084.9    30150
read      210.5   216.5    54.7    94.1   106.9   184.7   224.6   248.8   268.0   293.3   329.8   383.8   535.2  2115.9  9606.1  30128.8    30160
