1621352264
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      213.5   205.8    59.1    94.8   107.4   183.4   224.4   251.2   273.5   304.8   346.0   411.0   553.4  1835.9  8540.9  30010.6    30000
read      204.2   197.3    59.1    93.5   105.5   181.1   220.5   243.1   260.5   283.1   317.6   367.6   497.6  1981.8  7989.5  29965.2    30010
read      244.0   422.4    59.1    95.0   105.8   185.6   235.7   268.2   293.0   324.4   364.7   436.2   917.5  6247.5 15754.5  29995.4    30020
read      474.3   796.4    63.8   116.1   140.6   309.7   385.2   433.7   482.7   566.8   730.7  1676.5  4172.1  8337.0 20383.3  29943.0    30030
read      514.2   945.2    63.8   119.8   145.0   299.7   377.3   445.0   514.7   618.0   876.7  1540.6  4442.7 12591.6 21284.7  30112.9    30040
read      506.5   915.8    59.1   123.6   152.0   321.0   398.8   459.7   517.2   607.3   762.9  1165.4  4835.4 11846.2 20425.2  30042.1    30050
read      482.1   913.1    63.8   116.9   142.7   299.4   383.8   445.0   495.7   562.3   664.4  1066.9  4623.8 12138.8 20395.4  30091.2    30060
read      564.5   988.4    63.8   136.2   172.8   361.8   435.2   486.4   534.3   613.1   751.2  1384.7  4388.5 12614.6 20392.9  30070.4    30070
read      556.8   948.1    59.1   123.7   152.6   316.3   393.3   451.9   508.0   597.9   787.9  2522.1  4320.7  8396.6 19724.0  30020.4    30080
read      569.9   930.0    63.8   123.2   150.8   309.3   385.6   452.2   518.5   613.2   828.5  3384.0  4301.2  7144.5 16849.3  30049.3    30090
read      565.2   899.2    63.8   124.6   152.5   313.7   386.4   449.5   515.7   615.9   811.3  3115.3  4288.0  7609.2 16060.6  30174.6    30100
read      570.1   909.2    59.1   122.0   148.8   302.8   378.0   446.7   516.3   614.0   916.7  2886.2  4337.3  7513.3 16062.7  30046.2    30110
read      560.0   863.5    63.8   123.1   151.5   313.7   389.3   458.1   533.4   635.4   911.4  2553.0  4318.3  7495.5 16017.9  30176.2    30120
read      547.6   858.4    63.8   120.9   147.5   298.7   370.1   439.5   511.5   616.5  1012.4  2274.6  4321.8  7673.6 16031.2  30133.6    30130
read      315.5   561.9    63.8   100.2   112.9   210.5   271.4   308.8   337.2   372.6   432.3   630.5  2982.0  6563.1 15942.3  30125.5    30140
read      212.8   200.8    59.1    99.7   112.1   186.9   227.4   252.0   271.4   295.8   328.2   378.0   529.1  2305.6  8421.9  30137.0    30150
read      231.7   202.5    59.1   102.6   117.9   206.3   249.6   277.3   299.7   327.3   362.0   417.4   565.7  1966.1  8574.1  30151.6    30160
read      236.9   224.3    59.1   105.5   119.8   207.6   255.5   286.9   310.6   339.0   375.5   433.6   561.5  2149.8  9298.6  30192.8    30170
