#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      471.0   568.6    68.9   115.2   134.2   292.6   383.7   454.2   533.6   756.5  1279.6  1677.0  2197.3  3534.7 14620.6  59982.8    60000  1622034047703  1622034058029
read      520.5   644.5    68.9   120.5   141.9   318.3   421.3   509.1   631.6   930.3  1396.3  1782.1  2397.9  4821.1 16924.1  59990.6    60010  1622034059532  1622034069825
read      479.7   527.1    68.9   116.5   135.7   303.0   396.3   470.3   563.4   831.4  1310.8  1663.2  2156.6  3266.0 12132.3  60024.4    60020  1622034071327  1622034081593
read      494.5   564.7    68.9   118.1   137.9   312.1   407.1   486.5   587.7   869.0  1332.9  1699.3  2218.7  3441.5 14480.7  60141.7    60030  1622034083095  1622034093355
read      617.5  1090.0    74.4   125.6   153.2   361.1   460.9   552.3   653.3   922.3  1688.4  2166.9  2906.2 12850.4 37427.8  59970.5    60040  1622034094857  1622034105128
read      578.0   992.0    74.4   119.2   143.3   341.6   443.0   545.1   668.7  1026.8  1492.9  1880.1  2559.4 12582.9 36333.5  60102.7    60050  1622034106630  1622034116888
read      604.5   846.6    68.9   121.4   150.1   366.0   461.1   548.9   649.1  1001.0  1687.8  2147.2  2898.4  7726.4 30690.9  60179.4    60060  1622034118390  1622034128640
read      654.6   844.7    68.9   126.7   157.3   387.7   505.4   635.8   857.9  1421.3  1765.7  2138.9  2897.1  7732.3 29938.3  59980.8    60070  1622034130144  1622034140406
read      538.7   716.5    68.9   115.7   138.1   325.1   425.2   515.1   614.0   932.0  1474.7  1890.1  2517.7  6537.2 28013.9  60070.1    60080  1622034141908  1622034152168
read      715.8   848.8    74.4   134.1   167.2   412.3   560.2   825.1  1316.6  1601.3  1821.6  2110.6  2849.8  7929.1 29452.0  60024.5    60090  1622034153670  1622034163931
read      553.9   730.8    68.9   121.6   144.5   336.1   441.6   532.3   628.9   919.1  1525.2  1959.3  2640.5  5955.9 28151.2  60085.8    60100  1622034165433  1622034175695
read      652.9  1157.0    74.4   127.8   154.9   363.5   487.9   633.1   858.6  1361.2  1647.1  1972.2  2769.9 18158.6 32171.3  60026.7    60110  1622034177196  1622034187448
read      569.1  1042.6    68.9   119.0   141.7   329.6   437.0   543.9   674.1  1047.3  1467.1  1825.0  2499.5 12878.4 36120.8  60223.1    60120  1622034188950  1622034199204
read      580.2  1052.7    68.9   117.0   142.8   343.2   437.5   512.7   586.7   742.4  1576.4  2092.0  2807.3 12825.4 36322.0  60127.2    60130  1622034200706  1622034210969
read      505.7   695.4    74.4   112.0   131.7   304.0   402.2   477.1   548.0   687.8  1433.4  1931.9  2483.7  5297.7 21490.5  60193.0    60140  1622034212471  1622034222729
read      522.5   631.0    68.9   116.4   137.4   316.2   425.7   526.5   640.1   988.2  1423.9  1784.9  2331.4  4028.5 18214.6  60171.0    60150  1622034224231  1622034234498
read      581.1   896.1    74.4   119.0   144.1   346.1   447.6   533.9   624.6   887.6  1646.3  2048.7  2718.3  8584.7 30978.1  60163.0    60160  1622034236000  1622034246259
read      522.6   805.2    68.9   113.0   134.6   315.6   411.2   483.1   549.4   669.9  1460.3  1992.8  2554.3  8995.6 30103.7  60141.9    60170  1622034247761  1622034258015
read      540.2   998.9    68.9   112.2   133.5   318.0   407.9   478.9   544.1   655.1  1490.5  2061.5  2691.4 12501.1 31906.0  60146.0    60180  1622034259517  1622034269772
read      576.3   780.5    74.4   121.5   148.0   352.4   449.6   532.2   620.2   867.5  1637.5  2090.2  2725.8  6794.4 28409.6  60055.0    60190  1622034271274  1622034281530
read      672.9  1037.1    68.9   129.9   163.2   390.2   491.0   601.1   764.5  1425.8  1804.9  2204.1  2949.7 12690.3 31707.1  60150.2    60200  1622034283032  1622034293287
read      554.0   897.4    74.4   114.2   137.7   332.6   423.6   489.4   554.5   678.4  1609.9  2125.3  2741.2  9570.0 31508.4  60104.8    60210  1622034294789  1622034305051
read      524.0   824.4    68.9   111.1   131.8   309.8   401.6   469.3   534.2   650.7  1529.0  2044.7  2611.5  9447.7 28679.7  60303.4    60220  1622034306553  1622034316802
read      592.7  1023.8    68.9   118.1   144.1   344.4   438.5   518.2   603.8   846.5  1627.8  2102.9  2857.6 12654.5 32035.4  60349.3    60230  1622034318305  1622034328578
read      506.2   864.4    68.9   108.9   127.2   294.6   381.7   441.2   499.5   593.0  1519.1  2055.2  2578.3  8983.8 32381.5  60139.0    60240  1622034330079  1622034340328
read      566.9   726.3    68.9   120.5   144.9   338.1   442.3   545.4   681.1  1099.2  1530.9  1917.3  2598.4  7175.0 23687.5  60235.6    60250  1622034341830  1622034352092
read      584.0   929.9    74.4   118.8   144.9   344.5   439.4   520.8   606.0   846.7  1642.0  2129.8  2872.8  9433.7 31758.6  60180.6    60260  1622034353593  1622034363836
read      547.9   751.7    74.4   118.1   143.4   332.8   428.2   504.3   580.9   764.4  1534.0  2063.8  2727.6  7394.3 28430.3  60286.5    60270  1622034365339  1622034375597
read      496.7   723.9    74.4   114.6   134.7   294.3   392.4   474.4   564.8   799.1  1330.0  1738.3  2328.3  8018.0 28886.9  60303.2    60280  1622034377099  1622034387351
read      540.6   817.7    74.4   116.6   140.2   325.4   415.6   482.4   548.4   684.9  1533.8  2077.9  2697.0  8083.3 30223.1  60294.6    60290  1622034388854  1622034399125
read      487.3   729.7    68.9   108.8   127.2   286.7   373.6   437.3   494.9   587.9  1420.1  1997.2  2530.1  6495.9 24831.2  60131.1    60300  1622034400628  1622034410879
read      579.2   837.9    68.9   119.9   146.9   353.2   442.9   515.5   585.6   756.4  1680.0  2214.7  2906.2  8207.8 29722.2  60113.4    60310  1622034412381  1622034422660
read      562.6   826.4    68.9   119.3   144.7   336.8   429.6   506.5   588.8   814.3  1571.7  2050.9  2740.8  8649.3 29818.7  60250.8    60320  1622034424162  1622034434419
read      595.9  1206.4    68.9   118.9   144.1   340.5   429.6   506.8   591.3   838.3  1582.0  2013.2  2851.0 16805.3 35804.7  60307.2    60330  1622034435922  1622034446181
read      515.6   771.9    68.9   114.4   136.4   311.9   398.4   463.5   528.3   644.2  1453.9  1978.6  2626.6  6809.1 30431.9  60344.3    60340  1622034447683  1622034457959
read      552.2   731.3    74.4   122.4   146.6   332.8   431.9   522.5   631.4   996.9  1494.0  1893.8  2574.3  7075.6 25191.8  60278.1    60350  1622034459461  1622034469733
read      564.3   752.6    68.9   121.0   144.1   328.7   437.5   547.0   705.7  1122.7  1542.1  1881.9  2507.5  7691.0 27163.4  60349.0    60360  1622034471235  1622034481479
read      537.1   774.7    68.9   115.6   139.3   323.8   417.7   488.9   555.2   686.7  1537.1  2087.5  2748.9  6606.0 28955.6  60355.1    60370  1622034482982  1622034493236
read      553.7   891.5    68.9   120.4   143.5   324.3   422.4   514.6   621.6   957.0  1504.4  1879.9  2557.4 10171.4 31660.7  60352.6    60380  1622034494739  1622034505002
read      519.9  1076.9    68.9   112.3   132.3   305.8   390.9   450.3   504.6   593.0  1203.4  2005.7  2661.9 12838.6 37465.4  60383.3    60390  1622034506504  1622034516756
read      566.5   977.1    68.9   119.6   144.8   336.6   429.4   507.8   589.5   816.7  1491.9  1987.7  2696.0 12857.0 31531.9  60427.8    60400  1622034518258  1622034528523
read      523.1   750.4    74.4   117.8   139.7   312.2   411.3   497.4   590.9   857.1  1421.3  1829.9  2472.8  7750.9 30675.4  60347.4    60410  1622034530025  1622034540285
read      561.6   789.8    68.9   117.6   142.7   341.3   430.3   503.0   576.5   744.9  1636.9  2109.4  2767.4  7749.7 30143.5  60361.4    60420  1622034541787  1622034552040
read      525.4   761.0    68.9   118.1   140.5   318.4   411.1   489.7   571.8   800.1  1458.5  1875.4  2484.5  7652.3 30522.4  60545.0    60430  1622034553543  1622034563800
read      490.8   739.6    68.9   111.8   131.4   293.4   385.2   453.5   515.6   631.0  1294.8  1904.7  2501.4  7038.9 27775.9  60314.8    60440  1622034565302  1622034575570
read      548.3   825.0    63.8   114.1   138.0   331.0   420.6   489.1   555.4   685.9  1606.6  2102.9  2732.8  8941.0 29940.6  60485.9    60450  1622034577072  1622034587322
read      523.8   735.4    68.9   115.9   138.9   319.5   411.3   488.6   565.4   740.0  1448.1  1925.6  2570.3  6405.3 26945.1  60547.1    60460  1622034588824  1622034599087
read      531.8   691.9    68.9   116.4   140.6   330.2   422.4   492.4   562.5   708.0  1512.2  2016.2  2648.2  5275.8 20953.3  60465.3    60470  1622034600589  1622034610848
read      498.4   651.2    68.9   111.0   131.5   311.7   398.4   458.0   511.6   592.5  1286.8  2069.0  2640.1  4227.6 14765.9  60412.2    60480  1622034612350  1622034622605
read      547.5   888.3    74.4   116.9   141.2   332.1   423.5   494.2   561.9   690.7  1449.4  2069.2  2819.7  9999.3 31301.4  60437.8    60490  1622034624108  1622034634368
read      499.0   819.6    68.9   109.4   128.9   300.6   388.5   449.9   504.5   590.5  1335.8  2000.7  2555.8  7886.6 31551.0  60602.2    60500  1622034635869  1622034646126
read      517.0   661.0    68.9   114.3   137.4   322.8   413.6   482.6   547.8   670.6  1386.1  2014.0  2681.0  4907.0 14826.8  60640.3    60510  1622034647629  1622034657887
read      497.6   725.5    68.9   110.4   130.7   302.0   390.1   457.1   517.0   617.2  1258.3  1998.1  2576.6  6429.0 24863.1  60494.3    60520  1622034659389  1622034669650
read      519.5   854.2    68.9   114.6   136.7   312.1   406.9   485.5   564.8   732.3  1364.5  1874.9  2514.2  8499.1 32011.7  60465.0    60530  1622034671152  1622034681419
read      510.4  1148.7    68.9   108.4   127.5   295.7   384.3   446.7   501.1   584.7   937.7  1963.2  2605.7 15084.7 37335.3  60705.2    60540  1622034682921  1622034693190
read      509.9   654.3    68.9   113.7   136.3   318.8   412.3   481.1   544.4   661.4  1326.1  1987.5  2644.0  4757.5 17173.1  60450.9    60550  1622034694692  1622034704952
read      501.4   735.6    68.9   109.6   129.4   306.7   396.4   459.2   515.5   603.3  1369.0  2018.3  2687.7  6164.5 26344.6  60454.4    60560  1622034706454  1622034716708
read      571.0   795.9    68.9   116.5   142.6   351.4   442.0   508.9   574.7   722.5  1683.9  2171.1  2895.7  7106.4 21747.7  60568.2    60570  1622034718209  1622034728488
read      501.3   758.3    74.4   112.5   133.2   303.8   395.0   466.6   536.1   663.3  1348.4  1859.3  2542.5  8246.3 30146.1  60470.7    60580  1622034729990  1622034740251
read      548.1   958.1    74.4   115.9   140.3   329.2   420.6   494.1   565.0   713.1  1434.2  1974.6  2734.4 11479.1 32146.5  60581.9    60590  1622034741753  1622034752010
read      536.3   813.8    68.9   112.2   134.7   326.2   414.8   478.0   539.1   645.1  1553.4  2101.2  2768.7  7728.2 29644.3  60642.7    60600  1622034753512  1622034763762
read      498.2   799.6    68.9   109.5   128.7   301.3   389.7   448.9   502.1   584.5  1247.7  2021.3  2626.0  8275.4 29638.1  60634.9    60610  1622034765264  1622034775522
read      520.3   808.7    68.9   112.3   134.2   316.4   405.7   473.5   537.6   650.3  1383.9  2027.6  2682.6  7703.0 30634.7  60647.0    60620  1622034777025  1622034787285
read      490.1   732.2    63.8   109.8   129.1   296.4   386.1   448.0   504.4   591.7  1170.8  2006.9  2585.3  7005.6 24999.5  60569.2    60630  1622034788786  1622034799052
read      581.6   787.2    68.9   122.3   148.1   346.4   452.1   552.4   687.7  1098.7  1568.6  1969.4  2672.8  7959.8 29585.5  60560.8    60640  1622034800554  1622034810814
read      504.6   745.8    68.9   111.2   132.1   307.6   394.1   454.3   510.0   598.9  1306.6  2085.6  2682.5  6402.7 22041.6  60545.7    60650  1622034812316  1622034822566
read      527.3   758.5    68.9   112.2   135.3   321.6   407.5   467.4   525.6   626.6  1501.5  2124.6  2729.2  6593.2 25089.4  60492.9    60660  1622034824068  1622034834340
read      514.7   870.1    68.9   109.5   128.3   292.7   384.4   453.3   516.7   635.9  1504.5  2044.9  2663.8  7574.9 31700.4  59987.7    60670  1622034835841  1622034846104
read     5415.1  6336.8   137.8   458.2  2098.0  4187.9  4675.4  4943.3  5126.2  5538.9  6423.4 18267.8 32408.9 44106.4 58022.6  16813.0    60680  1622034847606  1622034857865
read     4090.4  6347.5    63.8   351.2   383.6  1869.0  2148.4  2433.4  3188.9  9562.6 13610.4 15702.3 31672.3 39290.5 54935.7  20170.0    60690  1622034859367  1622034869629
read      497.0   750.8    68.9   109.8   129.2   305.7   392.0   450.2   503.0   582.1  1164.7  2021.2  2703.0  6433.5 28932.5  60602.1    60700  1622034871131  1622034881392
read      506.6   678.3    68.9   115.3   137.6   313.1   405.4   482.6   558.1   740.9  1364.3  1838.8  2434.3  6074.1 23303.2  60724.0    60710  1622034882895  1622034893172
read      482.4   726.8    68.9   108.4   127.7   294.5   378.6   437.8   493.3   580.0  1222.3  1963.5  2511.8  6501.1 27408.5  60691.0    60720  1622034894674  1622034904929
read      509.7   667.3    68.9   115.8   138.9   318.0   408.6   479.4   547.2   686.2  1332.9  1919.8  2553.7  6040.9 15584.1  60831.3    60730  1622034906431  1622034916682
read      485.2   631.8    68.9   114.0   134.1   294.6   388.4   464.2   541.8   728.7  1320.6  1751.1  2319.5  6168.6 13665.4  60745.8    60740  1622034918184  1622034928458
read      516.0   764.0    68.9   113.7   135.4   311.2   399.1   466.4   536.2   685.4  1485.7  1939.0  2523.6  7272.4 30131.8  60721.5    60750  1622034929960  1622034940211
read      533.0   797.2    68.9   115.4   138.7   324.0   412.3   485.7   562.8   772.6  1478.8  1941.9  2568.9  7999.0 30379.7  60704.4    60760  1622034941714  1622034951983
read      519.4   776.0    68.9   115.0   137.1   316.0   407.7   479.7   549.8   727.0  1361.7  1914.7  2562.3  7493.7 30471.3  60719.4    60770  1622034953485  1622034963753
read      527.6   741.6    68.9   114.9   136.1   315.7   417.0   504.4   605.0   897.8  1431.9  1843.1  2448.5  7558.4 26481.3  60717.0    60780  1622034965255  1622034975510
read      520.6   653.8    68.9   117.1   138.7   321.0   422.8   507.6   600.1   885.0  1405.6  1825.7  2408.5  4884.6 19902.6  60767.4    60790  1622034977012  1622034987262
read      468.7   645.7    63.8   108.9   125.6   292.7   376.8   426.5   470.4   541.9  1321.4  1959.3  2469.5  4553.3 16009.6  60785.5    60800  1622034988764  1622034999028
read      489.6   565.4    68.9   117.4   137.9   309.3   402.7   473.7   545.6   741.7  1312.6  1770.3  2345.1  3452.7 12502.8  60700.7    60810  1622035000531  1622035010784
read      462.1   546.6    68.9   115.1   134.2   291.6   379.7   450.6   522.5   699.9  1237.7  1650.8  2150.1  3507.8 12869.9  60782.0    60820  1622035012286  1622035022549
read      463.7   548.4    68.9   114.1   133.0   291.9   381.2   456.5   543.8   781.8  1244.8  1617.4  2092.0  3140.0 12846.7  60827.5    60830  1622035024051  1622035034316
read      454.1   554.6    68.9   113.4   131.7   280.5   369.6   434.1   494.5   611.2  1155.9  1770.5  2277.8  3377.1 12800.6  60852.3    60840  1622035035817  1622035046094
read      461.6   592.8    68.9   111.8   129.9   290.0   371.7   430.9   483.5   566.0  1150.8  1883.2  2435.9  3513.5 13410.1  60868.0    60850  1622035047596  1622035057859
read      492.8   628.8    68.9   115.2   136.7   311.8   399.0   461.3   520.4   623.6  1221.6  1956.9  2548.1  4439.3 14383.1  60888.3    60860  1622035059361  1622035069621
read      471.4   576.0    68.9   113.0   132.3   294.1   386.4   453.8   516.5   630.8  1184.1  1807.1  2452.5  3888.7 12824.9  60900.6    60870  1622035071123  1622035081378
read      508.7   654.7    68.9   115.1   137.6   321.5   412.6   474.7   533.4   628.0  1240.8  2035.3  2698.0  4215.7 16830.2  60826.3    60880  1622035082880  1622035093137
