#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      490.0  1463.7    63.8   129.1   159.0   335.7   410.0   462.8   507.9   564.7   629.1   733.4  3630.0 24462.9 40838.1  89797.8    90000  1622035537291  1622035547624
read      366.4   376.3    68.9   122.0   145.2   324.3   401.3   449.6   488.4   537.9   606.4   716.0  1010.6  3238.2 11899.8  89802.6    90010  1622035549127  1622035559466
read      367.2   322.6    68.9   122.2   145.2   326.0   403.2   451.1   489.3   539.2   609.6   719.9  1069.5  2761.2  9976.5  89922.2    90020  1622035560968  1622035571236
read      361.8   367.5    68.9   121.2   143.8   320.8   395.8   442.4   479.1   528.5   596.0   699.8  1011.3  3158.2 12626.1  89931.4    90030  1622035572737  1622035583013
read      359.3   326.8    68.9   121.4   144.2   320.9   397.1   443.1   479.2   527.4   593.8   696.6   981.3  2767.1 11426.5  90011.4    90040  1622035584515  1622035594790
read      624.3  1497.5    74.4   167.1   226.5   431.0   503.1   560.5   623.3   719.6   820.1   998.3  6138.2 29958.7 37085.7  89991.1    90050  1622035596292  1622035606567
read      702.1  1529.9    74.4   221.4   288.0   440.5   507.6   604.5   717.4   817.3   919.7  1622.7  7129.7 30250.8 36921.6  89883.5    90060  1622035608068  1622035618324
read      685.7  1427.0    68.9   189.6   259.6   427.7   508.5   610.4   708.8   840.9  1181.3  1722.0  4925.8 28676.9 36562.8  89296.9    90070  1622035619826  1622035630091
read      651.6  1430.5    68.9   169.9   231.3   409.5   477.1   561.1   661.1   769.3   906.5  1635.4  5565.0 28407.6 36800.5  89755.1    90080  1622035631594  1622035641869
read      635.0  1439.7    68.9   162.6   219.0   424.0   491.9   547.2   625.3   737.0   862.2  1441.3  5225.6 28186.4 36551.5  89205.9    90090  1622035643371  1622035653628
read      670.2  1572.4    74.4   176.6   239.7   409.8   475.8   565.1   662.7   761.6   873.6  1599.0  6775.3 30341.0 37686.2  89683.9    90100  1622035655130  1622035665389
read      679.2  1494.7    68.9   195.4   262.9   424.4   500.0   585.2   680.0   776.6   919.7  1636.2  6298.2 29308.3 36915.2  90060.6    90110  1622035666891  1622035677157
read      554.4  1156.8    68.9   147.7   192.8   425.7   492.1   538.8   586.9   672.0   806.4   971.3  4250.7 14413.0 35849.8  90112.4    90120  1622035678659  1622035688907
read      530.3  1087.5    68.9   138.4   176.4   391.6   457.4   504.1   557.4   651.5   783.7  1017.2  3106.6 12059.9 35509.4  90181.4    90130  1622035690409  1622035700680
read      636.7  1439.8    74.4   168.5   231.2   417.1   482.0   550.0   642.3   749.8   861.6  1527.8  5087.9 28044.9 37448.2  90055.9    90140  1622035702182  1622035712428
read      633.3  1540.0    68.9   162.6   219.3   407.6   468.9   531.1   610.0   711.7   822.4  1243.0  6758.2 29842.2 37394.0  90140.6    90150  1622035713930  1622035724190
