#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      350.9   245.5    68.9   118.2   140.2   317.2   398.2   447.6   485.6   532.8   595.7   700.1   932.7  1408.7  7980.3  90066.0    90000  1622037394297  1622037404653
read      376.3   361.6    68.9   122.3   145.7   333.3   417.6   467.9   507.2   556.3   624.9   740.0  1068.2  3865.4 12313.9  89841.8    90010  1622037406157  1622037416453
read      371.0   369.9    68.9   121.9   144.9   330.6   412.6   462.8   501.2   547.7   614.5   726.8  1020.1  3539.5 12791.7  90059.4    90020  1622037417955  1622037428216
read      367.0   322.3    63.8   120.6   143.4   329.6   410.9   460.5   499.0   546.9   614.8   724.8  1002.4  2921.9 10513.8  89915.6    90030  1622037429718  1622037439985
read      368.7   353.8    68.9   120.8   143.8   328.7   408.8   457.9   495.9   543.9   612.9   727.6  1050.6  3213.9 13515.2  90036.7    90040  1622037441487  1622037451762
read      751.1  1735.3    74.4   288.6   344.8   483.0   543.8   607.8   706.7   816.9   926.5  1072.9  8451.9 30928.1 38923.5  89156.9    90050  1622037453264  1622037463526
read      800.7  2056.8    68.9   297.6   335.3   462.1   531.9   599.9   696.4   793.4   887.0  1057.2  8776.0 31710.0 39332.7  88011.3    90060  1622037465028  1622037475293
read      772.9  2146.7    68.9   261.3   305.8   426.8   489.1   558.8   651.5   727.8   819.4   951.9  9231.3 31799.0 40414.7  89518.4    90070  1622037476794  1622037487047
read      752.2  1858.9    74.4   257.1   309.0   437.1   500.1   582.0   682.1   773.7   867.2  1280.0  8568.1 31210.1 37605.4  89664.5    90080  1622037488549  1622037498806
read      782.9  1929.5    80.4   303.5   335.4   458.1   534.6   613.7   703.0   790.8   888.1  1104.7  8634.7 31450.8 38404.7  89356.8    90090  1622037500308  1622037510565
read      768.5  1933.4    74.4   265.6   308.9   433.5   500.9   584.0   676.6   764.6   862.7  1414.2  8558.1 31435.3 37619.5  89574.7    90100  1622037512067  1622037522337
read      752.3  1957.1    74.4   223.0   289.6   439.4   507.1   580.1   662.6   759.0   851.5  1034.3  8613.9 31559.5 37729.1  87252.0    90110  1622037523839  1622037534095
read      399.5   608.7    68.9   123.8   148.2   341.8   424.5   471.7   510.6   562.5   637.1   769.6  1178.6  8378.4 31134.0  90128.3    90120  1622037535597  1622037545852
read      741.0  1895.3    74.4   249.0   318.8   452.6   505.8   561.8   656.5   762.0   867.2   990.1  8673.5 31265.6 37819.1  89878.7    90130  1622037547354  1622037557611
read      795.9  2017.7    74.4   302.7   337.9   456.7   518.2   599.8   706.6   800.7   902.1  1171.0  8874.7 31514.2 37879.9  87712.1    90140  1622037559113  1622037569378
read      786.4  2031.7    74.4   279.3   332.3   459.6   523.9   587.6   689.3   784.6   883.7  1047.8  8760.5 31687.8 39290.5  87765.2    90150  1622037570880  1622037581166
read      757.8  1908.7    74.4   271.5   317.5   450.5   517.7   588.1   679.8   772.9   879.1  1087.2  8545.4 31470.7 39805.7  89593.2    90160  1622037582668  1622037592922
read      734.5  1887.4    74.4   222.5   288.4   437.8   510.7   586.5   663.5   748.9   846.0  1017.8  8553.2 31369.0 38926.9  89637.8    90170  1622037594424  1622037604694
read      775.9  1972.1    68.9   283.5   327.2   450.5   513.8   590.6   692.7   782.6   880.3  1089.4  8722.7 31439.6 39251.9  89122.9    90180  1622037606196  1622037616446
read      818.8  2127.1    68.9   309.6   334.5   446.4   530.9   620.5   700.7   782.6   870.1  1149.1  9087.7 31637.9 39922.4  87623.5    90190  1622037617948  1622037628210
read      743.7  1902.6    74.4   246.5   303.9   434.3   493.8   563.7   665.8   758.6   854.3  1056.2  8616.9 31332.9 40541.9  89788.9    90200  1622037629712  1622037639980
read      810.3  2148.1    74.4   301.7   331.7   446.9   534.3   607.5   689.4   764.1   848.3  1063.2  8991.4 31793.1 39676.1  88203.1    90210  1622037641482  1622037651736
read      834.1  2200.4    74.4   311.3   344.5   446.0   502.5   586.2   708.5   793.7   877.3  1082.0  9078.3 31872.8 38719.9  85666.2    90220  1622037653238  1622037663497
read      778.0  1965.8    74.4   282.1   324.3   444.6   504.7   587.5   690.7   780.5   873.4  1096.7  8580.3 31588.1 37870.4  89112.9    90230  1622037664999  1622037675257
read      768.0  1960.9    68.9   274.2   327.4   456.6   516.1   586.1   690.2   782.0   885.1  1039.5  8651.8 31483.2 38511.2  89285.1    90240  1622037676759  1622037687032
read      766.2  1969.3    74.4   271.6   314.8   435.0   507.1   585.8   676.2   757.0   848.3  1077.5  8696.9 31489.3 39201.2  89991.3    90250  1622037688534  1622037698792
read      734.7  1727.2    74.4   253.9   310.7   450.8   515.8   590.0   687.7   795.6   901.0  1416.6  8353.8 31123.1 37297.5  89732.4    90260  1622037700294  1622037710551
read      764.1  1883.9    74.4   279.8   327.2   457.4   528.3   593.0   699.5   787.6   896.7  1136.1  8607.6 31177.6 38340.4  89141.3    90270  1622037712053  1622037722308
read      743.8  1855.9    74.4   258.5   310.2   439.7   508.7   581.9   673.5   765.7   867.8  1215.0  8575.3 31238.3 38903.9  90333.8    90280  1622037723810  1622037734057
read      792.5  2031.9    80.4   299.7   332.9   445.8   505.7   593.2   700.8   786.2   875.7  1097.1  8739.7 31579.7 37780.9  89035.2    90290  1622037735559  1622037745813
read      746.6  1819.5    74.4   244.0   309.5   449.4   508.6   586.8   689.2   794.6   895.5  1248.8  8493.7 31209.5 37900.7  88405.9    90300  1622037747315  1622037757567
read      799.4  2148.1    68.9   276.4   321.3   446.7   519.9   596.5   680.2   764.1   858.5  1041.1  8914.5 31840.8 39217.6  88044.8    90310  1622037759069  1622037769323
read      735.9  1697.3    74.4   270.1   326.5   464.0   540.2   609.0   700.8   802.2   907.7  1174.1  8339.6 30719.2 38116.5  89624.2    90320  1622037770825  1622037781085
read      740.3  1769.7    68.9   261.7   324.5   465.9   529.6   589.5   684.4   796.3   896.0  1054.6  8447.2 31081.8 38691.9  89554.4    90330  1622037782587  1622037792853
read      735.5  1807.7    74.4   251.6   313.2   452.7   508.7   574.6   673.6   778.2   877.8  1021.7  8493.0 31221.3 38150.4  90048.1    90340  1622037794355  1622037804618
read      721.3  1746.9    68.9   237.2   309.1   454.8   511.3   575.1   672.8   783.3   888.0  1055.3  8404.0 30902.1 37650.0  89733.0    90350  1622037806120  1622037816397
read      763.9  1908.9    74.4   288.7   336.1   454.9   513.4   586.1   695.6   792.0   876.0  1014.2  8607.4 31435.7 38614.4  89933.4    90360  1622037817899  1622037828152
read      791.5  1981.6    80.4   307.4   340.8   465.2   540.5   614.2   698.8   792.0   891.5  1085.0  8711.7 31478.0 37861.5  88721.0    90370  1622037829654  1622037839903
read      771.9  1989.3    74.4   263.2   308.6   440.8   523.7   594.3   669.3   752.6   852.8  1096.3  8683.2 31551.7 37923.8  88950.1    90380  1622037841405  1622037851681
read      838.4  2232.9    74.4   317.2   343.4   451.5   505.0   585.7   697.3   789.1   878.4  1013.6  9333.2 31819.5 39673.3  85803.8    90390  1622037853183  1622037863435
read      642.1  1572.3    68.9   159.3   214.2   430.0   497.9   550.2   618.1   716.1   834.7  1004.7  5329.5 30543.7 37178.1  88423.5    90400  1622037864937  1622037875201
read      748.5  1850.3    68.9   259.9   308.7   448.8   516.7   589.5   674.2   764.4   865.8  1052.5  8353.5 31424.4 37766.4  90257.7    90410  1622037876703  1622037886955
read      790.1  1964.7    74.4   288.4   326.2   456.8   537.5   613.4   695.6   779.9   891.2  1158.8  8492.5 31592.5 38613.9  88505.4    90420  1622037888462  1622037898725
read      755.5  1876.6    68.9   258.4   312.7   446.9   510.8   587.7   683.9   776.7   871.7  1077.3  8422.1 31462.2 37642.4  89898.7    90430  1622037900226  1622037910486
read      783.7  1973.8    74.4   282.8   326.0   457.1   526.2   595.4   688.0   781.3   883.0  1077.7  8502.8 31675.8 39365.8  89208.2    90440  1622037911988  1622037922238
read      758.8  1769.7    74.4   280.4   323.1   448.7   511.4   608.1   707.9   809.3   911.2  1583.6  8238.5 31018.9 37627.9  88923.2    90450  1622037923739  1622037933993
read      760.3  1843.3    68.9   267.5   317.7   450.9   539.5   610.4   684.7   766.5   865.0  1111.2  8314.0 31359.6 37582.8  89543.4    90460  1622037935496  1622037945756
read      809.4  1978.5    80.4   328.9   354.1   466.5   534.7   612.3   717.5   808.6   906.1  1087.1  8596.7 31641.1 37585.6  88188.3    90470  1622037947258  1622037957508
read      772.6  1842.8    74.4   267.8   321.3   465.2   533.4   601.1   693.5   796.1   913.7  1178.9  8185.1 31430.3 38367.3  88484.8    90480  1622037959010  1622037969282
read      762.6  1794.8    74.4   296.8   335.9   468.0   532.0   605.4   703.1   809.2   910.4  1086.4  8234.5 31291.5 37693.1  90133.4    90490  1622037970784  1622037981052
read      773.6  1905.5    74.4   294.2   328.8   454.2   526.9   607.2   694.4   780.5   873.9  1067.9  8464.9 31498.0 38736.1  90079.4    90500  1622037982553  1622037992814
read      756.1  1720.1    74.4   292.3   332.8   461.1   526.6   602.5   703.4   800.4   896.2  1078.4  6974.1 30998.5 37608.0  89896.3    90510  1622037994316  1622038004614
read      773.3  1937.4    80.4   287.9   327.4   449.6   512.5   593.3   690.5   780.7   871.0  1044.5  8488.7 31603.3 39200.7  89752.0    90520  1622038006116  1622038016375
read      749.7  1821.3    74.4   267.7   314.8   449.5   518.2   593.5   691.6   785.8   886.8  1228.4  8312.3 31408.4 38723.8  90177.0    90530  1622038017876  1622038028133
read      775.0  1857.3    74.4   306.2   342.0   462.2   524.4   595.4   706.0   806.0   902.4  1089.8  8395.0 31409.9 37710.9  90076.8    90540  1622038029636  1622038039891
read      780.7  1978.7    68.9   279.7   314.7   441.3   508.5   592.4   675.4   763.2   859.1  1076.8  8478.3 31650.5 37862.9  89772.6    90550  1622038041393  1622038051657
read      757.2  1833.8    74.4   257.4   304.3   444.9   523.2   599.6   682.0   773.7   888.8  1419.3  8265.6 31265.7 38546.8  89740.0    90560  1622038053159  1622038063408
read      778.4  1941.0    74.4   288.9   327.1   450.5   507.8   590.1   688.0   784.6   877.2  1053.2  8437.9 31551.9 39311.7  89729.0    90570  1622038064910  1622038075180
read      755.8  1879.6    68.9   270.2   318.0   447.4   507.5   584.9   677.7   771.0   863.6  1014.6  8425.7 31399.8 37812.2  90282.2    90580  1622038076683  1622038086935
read      800.2  2008.9    68.9   302.9   334.5   460.6   532.6   614.2   704.6   793.0   899.0  1117.0  8618.8 31687.9 39919.4  88447.7    90590  1622038088438  1622038098699
read      751.1  1879.4    74.4   257.4   308.9   437.5   498.0   571.3   667.8   763.0   856.7  1031.3  8363.9 31438.7 38228.1  90096.1    90600  1622038100201  1622038110461
read      764.4  1866.7    74.4   267.8   313.6   446.4   518.2   600.2   689.5   779.2   883.8  1358.6  8315.7 31450.6 37923.8  89130.5    90610  1622038111963  1622038122230
read      762.9  1892.0    80.4   269.8   321.8   452.4   522.2   589.1   678.0   765.6   871.0  1066.1  8426.8 31538.9 37896.5  90018.9    90620  1622038123732  1622038133988
read      783.2  2002.5    74.4   292.9   327.8   444.5   502.0   584.6   686.3   776.8   865.1  1022.1  8513.8 31640.9 39443.0  89659.5    90630  1622038135489  1622038145740
read      772.1  1931.6    74.4   287.2   325.1   450.9   525.6   599.3   687.4   774.2   870.5  1085.7  8441.2 31562.0 37781.2  90253.7    90640  1622038147242  1622038157499
read      793.2  2031.5    63.8   306.2   334.5   452.5   511.3   588.6   685.1   782.6   874.5  1016.4  8675.3 31683.6 38991.6  89569.6    90650  1622038159001  1622038169277
read      784.6  1941.0    74.4   302.4   335.1   463.6   534.7   607.0   696.2   788.3   896.6  1096.1  8438.1 31583.6 38039.5  89741.5    90660  1622038170779  1622038181041
read      707.5  1750.6    68.9   213.8   277.9   436.2   504.0   569.9   648.9   742.8   851.0  1045.7  8251.2 31160.2 37504.2  90670.4    90670  1622038182544  1622038192805
read      780.0  1906.9    80.4   287.1   326.5   452.9   534.7   610.3   692.7   775.0   883.1  1169.0  8461.1 31545.1 38031.2  89310.7    90680  1622038194307  1622038204576
