Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1622111501697
Timestamp end: 1622113302095

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      297.6   502.4    80.4   152.4   175.3   269.3   301.5   318.1   331.6   346.4   370.2   410.9   589.8  5495.6 25163.4   5028.1     5031
read      559.9   845.5    74.4   125.9   149.5   346.9   457.1   542.2   629.1   829.1  1321.3  1834.9  3279.6  8010.2 31451.9  54931.0    54838
read      798.9  1768.8    74.4   180.5   235.8   406.6   521.5   648.3   738.2   923.5  1574.6  2009.3  8264.7 30522.9 37002.6  74895.9    74868
read      581.6  1155.3    74.4   120.3   140.7   343.7   483.6   618.4   846.5  1033.3  1186.1  1403.3  3469.2 15914.9 32352.4  30053.8    30015
read      473.9  1121.1    68.9   112.6   129.5   293.9   387.8   450.7   502.8   576.4   755.3  1320.2  3439.7 11658.8 36479.2  40740.7    40743
read      412.4   797.7    74.4   112.4   128.2   287.7   386.1   444.4   490.2   549.8   663.5   906.4  3264.3  9062.0 31774.6  23556.6    23648
read      746.0  1498.3    74.4   342.0   367.5   482.4   557.3   651.5   755.7   834.5   924.6  1081.7  8442.0 19813.4 36314.9  97695.8    97712
read      604.8  1509.9    68.9   126.6   150.5   354.6   445.8   509.4   572.0   662.0   804.1  1434.9  5416.6 28181.9 37052.7  53752.8    53672
read      570.6  1497.2    68.9   115.9   135.5   307.8   396.8   457.0   510.2   586.3   732.4  1795.5  5113.1 30334.5 36355.5  55564.0    55395
read      396.9   726.0    68.9   111.8   128.7   297.1   392.7   454.2   500.6   558.3   651.3   889.7  1801.9  7818.7 31382.9  29423.0    29425
read      358.7   638.8    74.4   116.4   134.3   290.6   371.0   420.2   458.0   505.9   573.0   690.3  1140.8  7523.8 31480.7  15229.4    15173
read      742.0  1691.3    74.4   204.3   262.5   418.9   499.8   583.9   664.0   745.5   858.9  1740.0  8482.2 29283.9 37467.8  82335.8    82475
read      726.5  1609.0    74.4   257.4   305.4   431.0   505.5   603.6   689.9   765.2   855.8  1379.1  8511.2 28412.5 36006.1  90645.2    90555
read      516.9  1165.3    68.9   121.9   141.9   329.1   428.4   489.9   542.0   615.8   746.4  1280.3  3650.3 15682.5 32515.1  47943.0    47944
read      448.6  1079.9    68.9   110.8   126.2   284.1   389.3   464.2   527.6   632.7   823.0  1079.2  3212.7 18302.0 34196.9  28285.9    28313
read      432.5   925.9    74.4   111.5   126.9   284.4   390.7   462.0   521.9   616.3   793.7  1050.5  3076.2 10631.0 32144.5  28501.7    28504
read      440.0   926.6    68.9   112.4   128.0   296.5   413.6   493.3   565.7   676.6   816.2  1036.3  2174.6 15415.6 32048.3  22852.8    22886
read      488.6  1267.8    68.9   111.7   127.5   290.4   390.8   459.7   516.2   597.6   777.9  1157.0  3479.8 20810.8 36346.2  35765.5    35717
read      447.7  1102.3    74.4   113.7   130.9   304.1   409.1   481.6   542.0   614.5   711.6   864.9  3210.4 20271.8 36132.5  14777.0    14828
read      707.7  1571.4    74.4   177.9   230.3   405.5   483.0   555.0   628.6   714.1   828.1  3015.6  7323.6 24292.2 37581.2  81531.5    81704
read      615.0  1592.4    68.9   119.6   141.3   320.5   414.9   478.6   536.2   621.3   803.8  2817.4  5534.2 30467.0 36980.9  55636.7    55771
read      715.3  1542.3    68.9   202.9   261.1   409.8   487.9   572.2   653.2   730.5   828.8  1874.5  8017.4 23187.7 36907.8  85257.9    85226
read      618.9  1404.4    68.9   136.9   167.9   355.9   438.0   500.5   558.9   643.3   774.4  3006.4  4889.2 22728.3 36802.9  75055.9    75020
read      383.4   764.5    74.4   114.9   131.9   282.9   357.8   405.0   444.5   493.3   564.0   702.4  3202.8  7958.7 31167.5  12389.2    12441
read      560.3  1395.5    63.8   116.3   136.2   305.0   395.3   455.0   506.1   583.7   742.9  2156.3  4700.5 28980.7 36900.7  56061.3    56208
read      389.2   748.8    74.4   112.3   128.3   287.9   380.5   438.4   486.2   550.0   646.2   819.1  2436.8  8716.5 31659.8  17481.3    17446
read      682.6  1420.3    74.4   194.4   252.9   422.0   494.5   562.4   642.1   730.8   839.5  1178.8  5585.8 19059.5 35953.3  87041.3    86943
read      556.7  1517.6    68.9   115.2   133.2   295.1   392.8   457.0   510.8   592.5   787.0  1677.0  4636.1 30570.6 37820.6  49019.2    49138
read      541.5  1406.6    68.9   116.3   134.3   302.6   401.4   466.3   524.1   609.6   788.3  1399.0  4396.4 28886.0 36917.9  49788.9    49839
read      549.5  1189.0    68.9   118.3   137.1   316.0   418.8   491.6   560.1   679.4  1038.1  1699.5  3712.1 15720.1 36042.0  47749.8    47752
