Random waveform, random seed
Total number of intervals = 150 (62158, 81772, 67243, 37084, 98934, 76081, 89455, 76784, 22952, 5348, 59225, 88679, 60615, 79450, 87778, 10993, 35768, 22400, 35400, 5390, 16951, 41611, 83538, 97549, 62132, 19572, 95280, 37221, 23880, 8044, 59130, 15567, 46346, 52899, 78627, 21218, 29355, 65513, 25168, 92027, 73686, 14540, 85452, 71130, 91032, 86182, 82554, 88864, 32307, 93711, 65859, 52148, 86481, 67945, 58895, 55186, 46583, 40489, 42797, 69423, 93836, 75931, 37776, 43390, 66238, 49113, 6116, 61118, 79367, 17990, 15022, 7760, 40801, 52421, 30301, 7528, 35745, 7987, 57133, 77166, 79081, 63861, 6367, 89295, 50882, 8221, 87361, 34222, 77196, 7672, 86731, 94632, 68248, 23275, 11104, 98727, 98743, 93323, 12994, 38580, 58446, 7550, 28721, 46490, 93943, 77554, 36669, 63859, 77007, 67421, 81740, 98710, 19258, 48034, 24185, 98968, 69191, 93035, 11619, 95889, 99225, 17125, 19808, 72808, 86811, 14433, 80863, 75342, 11581, 30506, 38210, 25960, 17985, 25650, 28978, 8845, 37380, 40435, 76928, 76026, 18513, 68834, 75728, 38015, 78065, 90302, 69484, 72460, 22639, 53068)
Average QPS expected = 53626
Timestamp start: 1622120921311
Timestamp end: 1622122421678

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      386.8   497.2    54.7   108.5   129.6   305.9   389.8   441.0   481.2   532.8   611.6   804.8  1968.8  5400.1 15580.2  62152.7    62158
read      380.6   524.5    63.8   110.9   133.2   306.8   382.7   430.2   468.2   520.1   597.2   741.6  1853.1  5635.5 19942.6  81914.8    81772
read      376.8   531.9    59.1   107.4   127.8   301.6   382.7   432.3   471.2   522.1   595.1   762.0  1827.7  5623.9 26189.8  67281.4    67243
read      354.3   466.7    59.1   105.5   125.1   298.0   373.3   420.0   456.3   501.0   561.2   697.5  1428.6  5379.0 15647.9  37032.7    37084
read      349.5   406.0    59.1   111.9   134.9   302.2   374.5   420.3   456.3   503.2   571.9   686.6  1128.3  4658.8 12671.9  98942.9    98934
read      364.8   517.2    59.1   107.1   128.2   302.2   380.8   429.7   468.0   517.0   584.7   709.8  1558.7  5761.7 18831.9  76036.0    76081
read      386.3   573.4    59.1   113.5   137.4   314.2   389.7   436.8   474.9   527.5   604.9   743.7  1719.7  6280.7 28870.1  89371.0    89455
read      351.3   390.9    59.1   107.4   127.4   298.2   374.0   421.3   458.8   506.7   572.7   688.2  1504.5  4628.5 10235.6  76917.1    76784
read      336.2   270.2    63.8   107.0   126.9   297.0   372.6   418.0   451.0   490.8   545.1   689.4  1089.5  2738.1  9283.9  22981.3    22952
read      277.1   304.0    74.4   132.3   163.2   256.6   286.7   305.7   319.8   340.5   369.7   422.9   587.2  4254.3 15829.1   5366.0     5348
