Random waveform, supplied seed
Total number of intervals = 150 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175)
Average QPS expected = 49648
Timestamp start: 1622151300703
Timestamp end: 1622152801098

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      264.1   534.0    74.4   133.3   165.0   237.6   263.6   278.3   290.4   304.7   322.8   360.2   468.7  5710.0 30582.4   5030.0     5031
read      401.2   555.4    63.8   104.6   123.5   313.4   395.8   446.4   488.0   543.3   625.3  1022.8  1932.0  6446.7 21682.3  54829.1    54838
read      377.6   532.4    63.8   104.5   124.0   308.8   383.5   429.4   466.7   516.1   584.8   714.2  2021.8  6260.7 19648.3  75024.1    74868
read      346.9   461.6    63.8   103.6   121.1   299.9   373.2   418.4   450.9   489.5   541.3   668.1  1206.1  5348.6 22056.4  30048.2    30015
read      439.7   748.2    63.8   100.3   115.6   291.5   379.4   441.8   498.4   617.9  1082.1  1365.0  1856.8  8157.0 31608.3  40770.0    40743
read      325.3   391.7    63.8   104.2   119.2   280.0   360.2   405.1   438.2   481.0   545.9   668.1   927.8  4474.1 12025.5  23583.7    23648
read      624.5  1320.2    63.8   185.7   241.9   376.3   431.2   495.6   593.7   679.7   775.2  1547.0  7392.3 12746.3 35899.6  97678.6    97712
read      371.6   637.0    63.8    96.0   109.7   259.2   346.5   403.7   449.6   507.5   604.6   911.0  3342.0  6406.6 29764.8  53727.0    53672
read      450.3   826.1    63.8   101.6   117.5   282.8   372.7   430.3   481.4   569.2   857.1  1538.1  3265.5  8760.5 31289.2  55497.3    55395
read      309.1   277.8    63.8    95.4   109.6   265.3   345.5   392.0   426.1   467.2   529.3   675.7   996.1  3241.6  7405.3  29407.5    29425
read      323.8   323.9    63.8   106.2   124.5   281.8   355.4   398.9   434.2   481.8   547.0   660.2   924.2  3509.3 12203.5  15233.7    15173
read      602.0  1465.5    63.8   121.9   157.9   353.8   416.2   467.7   540.9   647.3   783.5  1669.5  5633.1 24610.3 36891.4  82400.3    82475
read      724.5  2032.5    63.8   161.1   222.0   356.9   410.8   471.8   578.6   653.0   720.2  1345.8 12277.3 30348.8 37907.4  90538.4    90555
read      419.6  1041.3    63.8    97.0   111.5   267.5   354.9   412.2   461.5   532.5   705.0  1154.0  2964.6 12904.4 33614.6  47904.6    47944
read      345.3   417.1    63.8    97.0   112.1   267.8   360.1   416.0   460.5   526.4   657.2   875.3  1300.1  3791.3 12873.3  28266.9    28313
read      381.3   454.3    63.8    96.9   111.6   269.9   373.1   451.5   540.3   699.6   835.8  1012.2  1403.7  4470.0 13771.6  28515.2    28504
read      339.9   363.6    63.8    97.9   113.0   270.2   363.3   419.2   466.7   544.8   663.3   808.2  1161.6  3518.4 10271.9  22953.8    22886
read      359.4   436.8    63.8    96.7   111.0   263.0   353.2   414.3   463.1   535.5   729.1  1011.4  1492.0  3762.7 12151.3  35584.7    35717
read      307.6   503.9    63.8    98.7   114.0   266.5   333.2   373.1   403.9   446.0   508.1   607.4   841.1  3887.8 30627.0  14875.0    14828
read      673.9  1944.3    63.8   127.8   167.2   340.4   394.2   463.0   559.7   638.8   717.1  1567.9 12078.6 30580.0 37909.4  81623.8    81704
read      418.9   877.6    63.8    99.3   114.8   262.7   349.1   404.9   451.9   516.2   638.2  1174.7  3568.3  8212.8 31930.5  55834.5    55771
read      695.8  1883.7    63.8   143.2   195.2   352.7   410.0   493.4   599.9   670.2   775.3  1737.4 10733.1 30502.3 37553.9  85138.3    85226
read      517.9  1114.6    63.8   108.6   130.5   302.1   372.5   431.0   496.1   593.7   822.4  1675.8  3757.4 12627.5 32365.6  75038.4    75020
read      321.7   626.2    63.8   104.1   122.8   278.8   342.4   378.9   406.7   442.0   492.8   577.5   794.5  8186.4 31100.3  12411.5    12441
read      346.1   545.6    63.8    96.8   110.9   252.0   335.8   387.9   429.1   481.8   557.8   811.9  2335.0  5719.2 19103.7  56169.4    56208
read      329.2   379.4    63.8    99.4   115.1   278.3   363.0   411.6   452.2   509.1   590.6   706.3   942.6  4255.1 11252.8  17391.9    17446
read      377.2   533.8    63.8   107.4   129.7   310.1   376.8   420.4   458.5   510.8   585.9   714.9  1981.0  5542.9 24201.0  86921.3    86943
read      426.3   762.6    63.8   101.9   118.6   287.2   367.4   419.4   464.2   527.8   665.3  1311.2  3475.0  7406.7 31249.6  49273.3    49138
read      503.9  1038.8    59.1   101.4   117.7   281.7   370.3   434.0   492.0   592.1   973.6  1577.1  4050.1  8457.3 32367.3  49947.4    49839
read      471.5   920.9    63.8   100.4   115.9   277.2   367.6   430.4   487.5   579.4   890.6  1434.1  3723.4  7824.8 32215.1  47779.0    47752
read      346.0   396.8    63.8    97.0   110.3   260.4   356.7   417.3   468.1   548.1   691.2   889.6  1318.3  3874.9 11024.4  27178.5    27181
read      279.8   396.4    74.4   122.9   153.1   245.3   287.5   314.7   334.7   356.8   384.2   429.9   626.1  5165.7 20812.0   6228.6     6170
read      294.7   566.3    68.9   118.1   146.1   255.9   303.4   332.6   353.6   376.1   405.8   459.8   625.0  5414.7 31274.8   7186.1     7187
read      559.7  1298.4    63.8   145.6   193.2   357.4   416.7   467.9   531.7   617.4   713.2  1013.1  5724.3 14973.1 34577.2  99219.8    99387
read      581.0  1361.5    63.8   134.7   177.2   348.3   411.8   467.0   530.1   614.9   718.9  1510.8  6158.4 15987.2 35215.2  91845.5    91970
read      571.2  1273.3    63.8   119.4   150.9   329.1   398.5   455.6   513.7   600.4   734.2  1812.7  5065.6 12724.9 35011.6  79616.3    79658
read      525.9  1138.8    63.8   105.6   125.5   299.2   375.2   429.1   479.4   558.2   749.8  1756.2  4588.0 11360.6 32343.0  59191.6    59230
read      337.4   332.8    59.1   105.7   124.3   292.6   362.3   404.7   438.7   482.1   538.9   624.9  1634.1  3480.8  8973.7  78001.0    78081
read      399.2   909.1    63.8   102.6   119.7   287.1   365.4   410.4   446.6   495.3   565.9   766.8  3308.0 13523.9 32297.2  64211.5    64242
read      341.0   594.1    63.8    96.2   109.4   252.0   342.7   401.1   444.2   500.5   592.1   837.5  1353.6  5768.5 31738.9  37779.3    37702
read      394.3   568.8    63.8    96.1   108.9   249.7   353.5   432.2   498.4   637.6   914.7  1204.7  1866.9  5752.8 24708.7  40741.3    40686
read      356.4   500.2    63.8    95.9   109.3   258.8   357.7   423.6   471.0   547.0   711.0   945.0  1421.4  5215.7 17799.3  30352.8    30376
read      383.2   581.4    63.8    95.8   108.7   250.3   347.0   423.2   490.2   615.4   877.6  1141.8  1732.6  5424.2 30697.2  38366.9    38416
read      446.0   966.6    59.1   100.3   115.8   269.2   352.6   407.6   456.9   531.4   676.3  1370.6  3718.8  8973.2 32476.3  66044.7    65892
read      374.6   653.7    63.8    95.8   108.4   246.9   345.6   415.8   469.6   550.6   774.6  1070.7  1767.3  5797.0 31317.4  39552.4    39560
read      296.2   374.6    68.9   109.2   132.8   259.3   320.0   357.6   385.8   420.9   468.5   548.2   716.5  4211.8 12424.2  10027.8    10016
read      385.1   868.0    63.8    97.0   111.1   251.7   339.3   394.7   440.8   499.0   588.1   979.5  3571.1  6871.1 32277.5  55258.5    55224
read      341.8   435.8    63.8    97.5   113.0   266.4   356.4   411.0   459.0   531.0   634.2   772.7  1133.4  3937.1 12428.7  20054.7    19982
read      343.2   697.5    63.8    95.5   108.4   242.9   329.0   383.4   427.4   482.6   563.2   833.2  1591.1  5894.2 31699.2  47984.4    48114
read      384.3   576.3    63.8    96.0   109.0   255.1   355.6   430.2   494.6   624.4   866.1  1105.6  1672.2  5526.4 29773.6  36296.1    36283
read      360.2   409.3    63.8    96.8   110.9   268.1   375.0   446.7   514.5   615.5   737.1   907.8  1235.0  4033.3 12192.5  23292.4    23315
read      295.4   316.8    68.9   105.3   125.8   259.0   326.9   366.9   397.2   435.2   490.1   568.7   735.2  2724.6 10993.6  11194.1    11150
read      700.5  1496.1    63.8   230.4   284.8   399.4   457.5   549.1   656.7   744.2   856.4  1722.5  8340.7 17997.4 37150.7  98491.8    98724
read      454.8  1243.9    63.8   100.1   116.5   281.6   363.4   410.7   454.9   518.6   633.9  1004.5  3872.6 20252.8 36632.6  56908.1    56880
read      299.8   259.6    63.8   100.4   117.7   260.2   330.8   372.6   404.6   448.3   508.7   616.1   834.4  3151.7  9053.7  13501.7    13467
read      701.8  1675.5    63.8   233.3   285.7   399.0   448.6   505.9   609.3   698.7   785.6   961.8  8519.5 28862.6 37416.4  99274.3    99368
read      426.2  1108.6    63.8    98.3   113.5   270.3   355.3   410.0   459.3   527.5   649.6  1057.5  3701.7 12628.1 34759.4  46281.9    46206
read      501.1  1304.3    63.8   103.2   121.7   294.7   371.2   420.4   467.0   543.7   681.9  1368.3  4056.7 23102.9 36586.0  71607.4    71651
read      356.5   499.5    63.8    97.5   112.2   266.0   364.2   423.7   475.7   565.3   691.0   866.2  1234.3  5237.2 20277.1  22720.3    22741
read      454.2  1198.3    63.8    98.8   114.1   266.1   351.7   406.8   455.4   522.8   643.1  1213.7  3966.5 13899.9 36189.4  56785.6    56654
read      693.4  1764.1    63.8   201.4   260.9   391.6   442.1   493.2   580.8   676.1   766.7   922.4  8496.3 30839.5 37806.7  99538.4    99570
read      334.1   499.8    63.8    96.7   111.2   262.0   344.5   394.1   431.2   483.9   577.1   743.8  1169.2  4243.2 24878.5  22983.3    23047
read      512.9  1255.6    63.8   104.6   123.9   300.3   376.6   433.8   490.9   577.2   757.7  1562.8  3997.8 20566.1 36815.8  70057.1    70008
read      349.9   659.5    63.8    95.7   109.3   256.2   343.6   396.7   437.0   491.0   573.4   852.4  1611.6  6247.9 31992.7  42928.4    42943
read      355.7   675.9    63.8    95.0   108.0   247.3   339.7   397.6   442.7   499.4   590.1   936.5  1768.0  5997.7 31616.8  46729.0    46704
read      652.3  1748.9    63.8   115.1   144.4   334.5   402.1   482.0   570.2   673.8  1184.5  1794.8  6362.9 30874.7 37346.9  75907.3    75970
read      350.7   557.1    63.8    95.9   110.3   261.2   361.3   425.8   482.6   571.9   679.4   822.8  1136.2  7720.4 30275.9  21798.2    21917
read      671.7  1687.3    63.8   127.3   165.6   349.5   421.7   506.9   603.3   707.8  1397.7  1870.4  5622.2 30898.7 37460.6  82020.9    82027
read      650.4  1666.6    63.8   121.1   154.5   341.7   411.2   492.0   580.3   681.6  1253.4  1874.9  5126.0 30796.1 37883.5  81607.4    81583
read      320.2   408.0    63.8   100.8   118.2   268.7   346.7   398.5   440.1   492.9   561.3   659.2   871.2  4383.4 15513.6  14255.6    14259
read      290.8   474.0    74.4   117.5   142.7   256.3   311.3   342.9   366.7   394.6   429.9   484.3   625.5  4374.3 26977.7   7877.8     7821
read      348.4   318.1    63.8   105.2   125.3   282.8   382.4   448.4   506.1   578.4   661.3   771.4   981.4  3100.9  8874.3  17641.6    17727
read      535.0  1346.4    63.8   103.2   122.5   293.0   371.5   435.1   498.1   591.7   876.7  1635.7  4624.1 25734.6 36566.3  65688.0    65559
read      345.5   582.8    63.8    95.0   108.1   249.4   338.5   395.9   440.8   498.4   598.0   925.7  1540.0  5608.7 31041.5  41157.2    41133
read      335.5   387.1    63.8    95.6   109.4   258.4   347.4   404.6   450.4   512.2   651.8   860.5  1254.6  3883.3 10990.2  28708.5    28693
read      412.0   979.8    63.8    97.3   111.6   254.7   341.1   397.0   445.6   513.9   645.7  1138.8  3763.0  8824.4 35439.1  53211.0    53141
read      403.7   948.1    63.8    96.4   110.2   251.5   341.2   400.4   449.5   512.9   632.5  1126.9  3694.9  7470.0 36046.1  54577.2    54512
read      331.8   550.6    63.8   100.8   118.1   271.1   352.5   404.3   450.9   506.3   573.1   670.8   901.3  5585.2 30944.8  14800.2    14835
read      713.1  1999.9    63.8   233.9   283.9   380.4   430.9   506.1   621.5   689.5   764.4  1394.8  8836.7 31275.1 38251.6  98388.5    98446
read      339.8   651.9    63.8    95.0   108.6   252.2   339.7   394.0   436.0   489.1   572.4   816.4  1352.3  7627.9 31478.5  38175.0    38117
read      703.9  1610.7    63.8   128.9   170.4   357.1   439.7   567.6   668.1   924.0  1564.5  1989.5  5054.9 30482.9 38726.9  78100.9    77994
read      369.1   643.7    63.8    95.4   109.2   259.4   351.2   415.7   471.8   573.3   761.3   976.4  1431.3  5549.0 31941.5  30126.0    30209
read      601.7  1710.3    63.8   105.5   127.2   306.4   378.2   442.3   510.5   612.3   925.0  1745.2  6267.1 30996.1 38867.3  68410.2    68315
read      664.0  1414.6    63.8   162.0   220.4   373.7   460.9   577.9   658.9   754.5  1407.4  1843.5  4548.3 29368.2 37285.1  91952.2    91940
read      352.0   575.5    59.1    94.5   108.0   247.9   333.4   387.9   431.1   491.3   585.9   911.7  1921.2  5999.2 21951.1  49112.4    49308
read      328.6   435.3    59.1    91.9   104.3   235.7   323.3   380.7   426.8   486.4   581.9   897.7  1488.5  4057.7  9005.5  46775.9    46880
read      641.9  1517.5    63.8   151.6   206.3   370.4   432.4   506.5   605.8   697.6   835.2  1707.7  5004.4 30173.7 37053.7  92572.0    92540
read      380.6   696.9    63.8    96.2   110.4   262.5   348.0   401.5   446.4   504.2   597.5   979.3  3299.5  6848.2 30632.4  49478.2    49396
read      673.3  1795.3    63.8   206.3   263.0   384.4   445.0   513.0   608.1   688.4   774.0  1436.8  7158.8 31102.9 38790.0  98151.7    97841
read      351.0   442.4    63.8    95.2   108.9   270.5   364.1   422.6   467.1   529.2   633.3   889.4  1367.3  4833.0 15492.0  35457.4    35404
read      661.2  2030.3    63.8   117.5   149.5   334.5   394.3   447.6   505.6   598.7   691.8  1460.0  8266.8 31639.9 39255.4  80482.7    80451
read      658.0  1569.8    63.8   134.0   178.9   363.4   436.7   524.5   618.9   723.3  1343.5  1827.1  4741.9 30766.2 37304.5  86945.0    87228
read      638.1  1600.2    63.8   113.5   141.5   334.7   408.9   487.4   573.9   688.9  1375.5  1851.2  5185.5 30321.8 37698.9  75570.1    75554
read      467.6  1049.6    63.8    98.9   114.7   279.2   366.0   425.8   480.1   565.6   753.3  1383.3  4018.6  9402.8 32197.5  57882.7    57964
read      716.1  1829.2    63.8   144.1   196.7   358.9   433.6   544.5   630.5   715.3  1386.6  1823.9  8352.1 30554.7 37792.3  83506.8    83546
read      475.4  1094.9    63.8    98.6   114.7   278.9   365.2   426.3   480.4   558.2   734.9  1413.1  4070.4 12451.8 35414.2  55387.8    55468
