Random waveform, supplied seed
Total number of intervals = 150 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175)
Average QPS expected = 49648
Random waveform, supplied seed
Total number of intervals = 150 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175)
Average QPS expected = 49648
Timestamp start: 1622157681090
Timestamp end: 1622159181471

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      267.3   643.7    74.4   134.2   156.9   240.7   269.5   285.5   296.4   312.0   333.3   371.2   523.6  5126.1 34601.4   5008.4     5031
read      503.8   755.1    63.8   110.5   132.7   324.0   419.4   497.3   579.5   799.2  1246.5  1635.8  2264.4  7774.4 31408.3  54886.7    54838
read      731.6  1223.2    63.8   164.0   217.8   385.1   535.0   704.3  1129.1  1487.5  1679.4  1928.0  4288.3 12714.2 33540.7  74828.0    74868
read      499.6   995.4    63.8   102.5   120.7   307.7   418.6   513.5   714.2   939.2  1097.9  1261.7  2022.3 13446.5 32098.6  29959.1    30015
read      355.5   562.2    63.8    98.4   113.2   265.1   354.6   410.9   455.8   513.1   604.1   885.0  1680.5  5886.1 29057.5  40688.6    40743
read      367.7   547.8    63.8   106.5   121.9   283.4   382.3   442.2   490.4   556.1   663.9   849.8  1448.1  5656.4 30658.9  23710.4    23648
read      753.6  2017.3    68.9   279.8   312.9   412.8   471.1   543.1   649.0   726.9   822.3  1421.0  9355.8 31397.6 37855.6  97575.2    97712
read      511.4   972.8    63.8   105.8   126.2   319.8   403.6   466.6   543.3   779.7  1277.8  1650.9  2206.2  9434.2 32447.1  53611.4    53672
read      496.3   773.6    63.8   106.3   126.6   312.6   400.0   469.8   541.1   734.2  1281.4  1672.4  2276.8  7706.4 31518.3  55391.9    55395
read      331.3   359.2    63.8   100.4   115.8   265.2   356.0   413.3   455.9   509.2   591.7   771.1  1278.4  3210.2  9466.4  29347.3    29425
read      327.9   349.3    63.8    98.9   114.9   272.9   360.1   415.6   459.8   516.3   589.3   711.1   933.8  3924.3  9453.2  15172.0    15173
read      633.1  1677.7    63.8   131.9   181.4   399.2   464.5   514.0   570.2   681.9   823.6  1540.2  5812.0 30451.2 37774.2  82575.6    82475
read      768.0  2257.4    63.8   237.7   290.6   386.4   444.4   508.8   623.0   686.0   778.7  1422.2 12385.7 31739.7 39617.7  90637.0    90555
read      471.3   801.7    63.8   101.9   119.2   298.1   384.7   452.9   522.5   730.9  1190.7  1542.6  2007.6  8859.5 31728.9  48098.1    47944
read      311.2   384.4    63.8    97.7   112.3   261.0   344.9   396.8   432.8   475.6   535.3   653.2   943.4  3412.6 14623.9  28395.3    28313
read      316.5   361.8    63.8    97.8   112.2   260.7   347.6   401.3   439.2   485.9   551.8   705.2  1084.9  2478.0 13506.9  28409.3    28504
read      351.6   310.6    63.8    97.8   112.3   271.4   374.2   442.3   505.2   593.7   712.1   880.2  1217.9  2776.0  9034.5  22958.1    22886
read      335.9   363.6    63.8    98.3   113.1   263.9   354.0   413.6   457.9   510.9   600.2   834.9  1405.6  3285.0  8563.5  35785.8    35717
read      328.9   360.0    63.8   102.5   119.6   277.2   363.1   416.8   458.9   513.8   588.9   703.6   925.1  2907.6 12300.2  14861.0    14828
read      684.0  1378.2    63.8   144.8   198.4   366.7   458.8   612.9   716.8  1392.1  1559.3  1827.7  4870.5 20997.3 36272.6  81402.4    81704
