Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1622102956842
Timestamp end: 1622104757225

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      310.1   469.5    74.4   153.0   176.6   291.6   324.7   342.6   356.4   371.6   394.6   433.6   586.0  5686.7 30502.5   5035.0     5031
read      409.0   414.1    68.9   123.6   146.3   353.1   444.7   499.2   542.0   595.6   671.4   806.7  1674.6  4006.2 11687.8  54755.9    54838
read      384.1   388.0    68.9   123.0   145.3   335.7   419.7   469.9   509.1   560.6   631.3   745.2  1278.3  3610.7 12848.2  74766.5    74868
read      376.6   366.8    68.9   121.5   141.4   337.7   421.7   471.3   509.9   558.0   619.3   730.2  1211.9  3601.4 11022.6  30037.0    30015
read      392.5   431.1    63.8   119.8   140.8   336.1   423.5   475.8   517.9   571.4   641.6   788.5  1493.3  4696.3 11849.5  40835.9    40743
read      429.2   785.3    74.4   121.8   137.3   306.1   410.8   472.5   525.1   597.5   709.1   922.1  3468.8  8132.3 31856.1  23596.7    23648
read      719.9  1494.7    74.4   306.4   337.4   467.9   542.5   625.0   709.8   790.0   880.9  1029.3  8419.0 21779.7 35908.0  97848.1    97712
read      559.0  1301.5    68.9   120.2   142.1   326.5   419.1   481.3   533.1   606.7   739.4  1320.8  4881.9 15038.8 35662.3  53605.7    53672
read      562.8  1211.2    68.9   123.1   144.2   326.1   424.2   491.5   549.0   637.0   824.9  1628.6  4258.8 16033.9 32334.3  55325.7    55395
read      373.7   630.7    68.9   111.3   125.5   277.5   373.9   433.2   477.1   533.4   619.7   797.2  2424.6  6415.3 30896.6  29267.9    29425
read      341.9   474.2    68.9   114.2   129.8   294.2   371.7   417.6   452.0   492.0   546.6   652.7   995.9  5628.1 13812.2  15179.4    15173
