#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      386.5   361.6    68.9   124.3   149.5   338.0   418.9   467.2   505.4   554.9   626.2   748.4  1323.3  3570.5 11513.0  90042.6    90000  1622073564989  1622073575299
read      383.2   405.4    63.8   122.4   146.7   328.3   406.4   454.4   494.1   546.5   623.6   757.0  1588.6  3867.1 12472.6  89949.3    90010  1622073576801  1622073587104
read      391.4   386.0    68.9   123.4   148.8   339.7   420.8   469.6   509.1   560.3   633.0   760.1  1490.2  3890.6 12170.0  89842.4    90020  1622073588607  1622073598875
read      440.5   534.0    68.9   130.9   160.0   366.2   457.9   518.2   567.2   627.7   711.7   868.4  1943.9  5737.0 20313.6  89959.5    90030  1622073600377  1622073610639
read      415.4   490.6    68.9   128.4   157.6   360.9   443.7   492.7   532.2   584.3   662.7   801.0  1506.9  4679.0 19130.3  89792.2    90040  1622073612140  1622073622409
read      653.9  1348.3    68.9   185.6   257.1   459.1   522.8   585.8   657.0   757.3   872.4  1015.8  6875.0 17048.1 32475.0  88385.7    90050  1622073623911  1622073634201
read      713.8  1332.6    74.4   277.2   347.5   494.0   560.2   636.7   735.0   843.0   943.4  1096.1  7514.2 14734.6 35357.8  89064.6    90060  1622073635704  1622073645951
read      754.6  1616.1    74.4   325.4   366.1   485.1   546.7   608.8   724.3   837.2   936.8  1105.6  8581.6 27421.2 37033.2  87672.5    90070  1622073647453  1622073657731
read      740.5  1338.7    68.9   352.2   392.6   522.8   584.6   654.6   734.0   856.6   975.0  1105.8  7757.6 17723.2 35452.4  88872.3    90080  1622073659234  1622073669507
read      806.5  2009.4    74.4   286.3   341.4   460.0   518.4   580.9   690.4   793.4   886.3  1042.2  9360.0 30909.1 38657.6  83344.5    90090  1622073671009  1622073681269
read      817.5  2077.5    74.4   319.3   355.3   465.2   537.1   619.9   718.1   800.2   898.9  1084.5 12223.4 30824.0 37915.1  83630.5    90100  1622073682771  1622073693035
