#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      390.0   393.1    68.9   122.2   146.9   330.9   411.4   462.6   503.8   558.0   636.2   775.7  1754.7  3688.6 11409.1  90037.4    90000  1622074065549  1622074075865
read      391.4   374.8    63.8   123.6   149.5   341.3   423.4   471.3   510.0   561.0   633.1   761.7  1369.2  3782.9 12167.4  89982.3    90010  1622074077369  1622074087688
read      437.7   517.6    68.9   129.0   162.3   383.2   468.2   519.3   559.2   612.3   688.7   840.5  1449.1  6386.6 19362.0  89948.6    90020  1622074089190  1622074099465
read      414.4   433.6    68.9   128.3   156.8   359.6   443.7   495.8   537.4   591.0   667.3   799.5  1506.0  4292.9 15957.4  89931.9    90030  1622074100967  1622074111247
read      493.1   744.5    68.9   140.0   181.6   421.8   504.9   558.2   605.5   665.3   752.2   921.5  1749.8 10421.5 31496.1  90087.5    90040  1622074112749  1622074123018
read      620.4   787.0    74.4   164.9   228.1   466.9   565.2   639.7   708.5   849.7  1180.5  1665.8  2647.7 10539.7 30967.5  85863.6    90050  1622074124519  1622074134788
read      472.6   653.4    68.9   134.0   172.9   406.0   490.7   543.1   587.1   643.9   732.5   896.4  1702.8  8787.5 30867.5  89953.9    90060  1622074136290  1622074146556
read      527.1   729.9    63.8   139.9   184.0   414.1   508.2   573.8   631.5   708.9   831.9  1316.4  2399.5 10011.0 30854.6  89618.4    90070  1622074148058  1622074158312
read      457.7   688.4    68.9   129.3   164.0   385.2   466.4   518.4   560.8   617.2   701.0   866.4  2018.4  9827.8 30963.4  90066.9    90080  1622074159814  1622074170069
read      457.9   722.9    68.9   130.6   165.4   387.1   464.4   509.7   549.2   606.7   692.1   860.1  2106.6  9974.8 31338.4  89969.3    90090  1622074171571  1622074181833
read      442.4   737.1    68.9   124.3   155.1   362.6   438.3   486.5   527.7   585.7   681.0   840.0  2447.1  9917.1 31288.0  90059.9    90100  1622074183335  1622074193613
read      843.8  1192.9    74.4   207.8   288.9   458.6   691.3  1205.2  1534.2  1649.9  1799.6  2040.6  3093.5 13475.6 32366.9  71860.8    90110  1622074195114  1622074205371
read      741.5   965.8    68.9   181.2   257.4   442.4   606.8   742.9  1015.7  1507.4  1698.1  1963.3  3190.3 10005.9 31850.6  77068.5    90120  1622074206872  1622074217131
read      461.8   650.8    68.9   133.5   169.3   391.9   470.2   518.2   557.9   618.2   714.8   882.8  2082.9  7590.3 30666.5  90169.8    90130  1622074218633  1622074228891
read      444.8   686.6    68.9   126.7   158.4   370.7   452.2   501.9   543.3   598.9   682.2   839.6  2166.9  8862.2 31310.3  89950.8    90140  1622074230393  1622074240646
read      459.7   675.6    68.9   131.5   167.2   392.0   469.7   517.6   557.7   614.8   702.3   864.3  2189.7  8885.6 30635.5  90126.2    90150  1622074242148  1622074252416
read      492.8   678.6    68.9   135.1   175.7   409.4   489.1   538.4   583.7   650.0   766.2   992.4  2196.9  8535.7 30701.4  90067.1    90160  1622074253917  1622074264175
read      458.5   652.8    68.9   132.7   166.8   390.5   473.8   526.3   567.9   621.3   701.1   863.5  1996.5  8254.7 30890.2  90113.3    90170  1622074265677  1622074275932
read      430.0   556.6    68.9   128.7   158.5   364.6   446.2   498.2   541.3   598.4   680.2   821.8  1903.0  6698.9 24413.0  90145.4    90180  1622074277434  1622074287700
read      406.9   422.0    68.9   127.1   154.0   350.6   433.6   485.5   527.4   582.4   662.4   797.9  1551.9  4121.6 12873.0  90029.3    90190  1622074289202  1622074299456
