#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      320.8   215.2    63.8   108.8   128.9   303.9   370.2   409.8   440.1   473.3   514.9   574.8   736.3  1493.6  7624.0  30035.0    30000  1622141111057  1622141131180
read      324.0   240.9    63.8   108.6   128.4   302.8   371.8   412.6   441.5   475.4   518.8   584.1   795.2  2509.6  7424.7  29997.3    30010  1622141132685  1622141152796
read      322.2   236.1    63.8   105.8   124.1   298.5   367.4   407.1   437.7   474.0   521.0   590.6   918.6  2445.8  7607.1  29973.4    30020  1622141154299  1622141174396
read      332.0   271.1    63.8   107.3   126.3   310.4   377.9   418.9   449.9   487.0   534.5   601.3   901.3  2623.8 10483.4  29976.2    30030  1622141175899  1622141195996
read      356.6   396.6    63.8   105.9   123.3   300.3   378.3   425.3   462.5   510.0   573.1   721.1  1388.6  4793.5 10232.7  30021.6    30040  1622141197500  1622141217595
read      387.6   529.5    63.8   101.7   116.4   272.0   364.9   426.6   478.8   551.3   697.6   950.1  3292.2  5947.1 12548.8  30034.6    30050  1622141219100  1622141239207
read      390.8   511.3    63.8   101.8   116.8   283.9   376.1   437.0   486.6   556.9   693.9   936.7  3343.9  5717.0 10964.7  29985.1    30060  1622141240710  1622141260808
read      395.9   579.3    63.8   101.6   116.5   277.5   370.7   429.4   476.5   544.3   686.9   964.9  3503.1  6382.7 16674.3  30101.9    30070  1622141262310  1622141282406
read      376.9   540.0    63.8   100.8   115.1   273.0   366.2   422.4   466.4   528.3   638.3   891.0  3251.2  6001.7 19111.2  30020.3    30080  1622141283910  1622141304012
read      358.5   474.7    63.8   101.6   116.4   279.2   363.7   415.8   456.8   508.1   585.7   795.6  1788.7  6015.8 17664.3  30111.6    30090  1622141305514  1622141325619
read      323.1   220.5    63.8   109.8   130.7   305.9   370.8   409.1   438.1   471.9   514.9   578.8   770.3  1981.2  7531.7  30089.2    30100  1622141327123  1622141347223
read      329.2   224.2    63.8   111.3   132.5   311.2   382.8   422.7   451.7   486.0   530.3   597.1   775.2  1466.4  8227.0  30110.9    30110  1622141348727  1622141368829
read      325.5   280.2    63.8   105.2   123.7   300.2   365.4   404.8   436.6   474.5   521.9   589.8   985.7  3338.2  9622.3  30125.1    30120  1622141370335  1622141390434
read      342.9   265.0    63.8   109.9   130.8   321.1   389.8   430.7   462.3   500.3   546.2   616.2   982.5  2513.2  8441.0  30132.5    30130  1622141391936  1622141412035
read      344.4   336.7    63.8   106.9   126.0   303.5   372.8   418.1   453.6   495.8   548.5   662.4  1177.3  3553.6 13080.9  30065.0    30140  1622141413538  1622141433634
read      452.9   612.8    63.8   107.6   125.5   302.2   410.4   506.4   629.9   832.4   986.6  1151.4  2066.8  7954.8 17333.4  30141.0    30150  1622141435140  1622141455240
read      451.0   580.5    63.8   107.0   124.7   305.1   411.4   506.1   622.5   829.7   987.8  1156.3  2193.2  7358.7 17284.4  30124.5    30160  1622141456743  1622141476842
read      455.3   617.2    63.8   107.1   124.9   307.8   416.6   512.4   629.9   829.8   986.7  1156.0  2017.4  8161.5 19539.7  30205.6    30170  1622141478346  1622141498444
read      461.3   609.2    63.8   107.4   125.4   313.2   425.9   523.8   642.7   838.1   998.0  1177.7  2075.3  7906.2 18638.5  30239.0    30180  1622141499947  1622141520047
read      456.6   607.0    63.8   107.6   125.6   310.6   417.9   510.9   630.8   831.2   993.1  1176.2  1918.8  7833.3 19274.1  30179.7    30190  1622141521550  1622141541648
read      374.3   426.5    63.8   107.1   126.2   306.3   380.2   431.8   475.5   529.9   618.6   939.3  1362.1  5646.2 16373.9  30141.4    30200  1622141543150  1622141563251
read      330.4   227.8    63.8   112.0   135.4   314.9   377.2   415.9   445.3   478.8   520.0   579.6   745.9  1600.8  8332.2  30219.3    30210  1622141564753  1622141584857
read      339.3   283.9    63.8   110.9   133.4   316.7   384.7   423.9   453.1   487.8   531.5   594.2   894.5  3059.6 10326.8  30190.0    30220  1622141586360  1622141606455
read      344.8   284.0    63.8   107.8   128.6   320.3   389.6   430.8   462.2   500.1   546.6   623.5  1045.1  3002.7 11308.1  30144.1    30230  1622141607958  1622141628066
read      348.5   288.5    63.8   109.2   131.3   328.1   394.3   433.9   464.3   500.3   544.0   614.1   998.9  2824.7 12238.2  30186.9    30240  1622141629570  1622141649669
read      356.3   313.0    63.8   109.6   131.0   324.1   392.6   433.7   465.6   503.7   551.5   646.0  1203.3  3717.7 11057.1  30314.6    30250  1622141651171  1622141671273
read      359.2   350.1    63.8   107.1   126.4   316.4   383.4   427.3   461.8   502.7   554.7   680.5  1287.7  4742.0 10757.9  30227.9    30260  1622141672774  1622141692870
read      357.1   349.8    63.8   106.8   126.3   313.3   380.5   425.3   460.1   500.6   551.5   682.2  1284.8  4815.8 10357.7  30287.6    30270  1622141694373  1622141714471
read      356.7   361.3    63.8   106.4   126.0   312.2   379.3   424.6   460.2   501.9   552.0   670.5  1284.8  4969.3 11601.1  30253.6    30280  1622141715973  1622141736072
read      359.9   421.2    63.8   107.0   126.8   311.3   379.1   425.5   461.5   503.5   557.9   686.6  1306.3  5682.0 16080.3  30287.7    30290  1622141737575  1622141757670
read      356.1   343.9    63.8   108.1   128.4   311.8   379.6   425.7   461.8   504.6   557.3   676.3  1310.5  4637.4 11043.5  30260.6    30300  1622141759181  1622141779303
read      357.2   432.6    63.8   108.2   127.7   310.5   379.5   426.2   462.2   504.0   555.6   670.5  1283.6  5615.3 19218.0  30233.1    30310  1622141780806  1622141800907
