#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      386.1   356.4    63.8   124.5   149.3   333.3   414.9   464.6   504.4   554.9   626.4   749.6  1600.0  3626.4  9580.4  90027.2    90000  1622069317296  1622069337644
read      380.5   335.2    68.9   124.2   148.8   334.6   413.1   459.9   497.2   545.1   616.2   736.7  1312.2  3510.2  9176.3  90052.5    90010  1622069339148  1622069359455
read      549.8   831.1    68.9   156.8   208.6   452.9   542.5   605.8   656.0   722.3   825.5  1018.1  2499.8 12289.9 31379.0  89894.6    90020  1622069360958  1622069381217
read      712.2  1350.0    74.4   240.8   326.9   507.4   583.7   653.2   727.6   840.0   976.9  1245.7  5481.6 17337.1 35616.4  85612.7    90030  1622069382720  1622069402986
read      451.3   643.1    68.9   132.2   162.7   373.2   457.9   509.6   549.5   605.1   692.3   857.9  2297.7  8499.9 30390.3  90100.9    90040  1622069404488  1622069424761
read      388.2   325.1    63.8   129.0   154.1   339.0   422.1   472.2   513.0   564.4   633.5   751.0  1251.5  3387.3  8578.6  90030.1    90050  1622069426264  1622069446544
read      390.1   336.8    68.9   126.6   152.7   345.2   427.0   475.1   512.8   561.9   630.9   748.4  1180.7  3552.1 11953.9  90078.9    90060  1622069448046  1622069468311
read      403.3   373.3    68.9   129.0   155.7   351.5   435.4   487.7   529.4   583.1   657.0   779.7  1473.5  3744.3 10337.2  90114.8    90070  1622069469812  1622069490070
read      675.3  1391.2    68.9   218.9   297.0   477.2   543.9   608.7   687.9   803.7   919.9  1100.4  5206.9 18805.8 35879.5  88883.9    90080  1622069491572  1622069511825
read      749.7  1356.1    74.4   277.6   350.5   508.0   604.4   694.2   791.6   901.3  1089.3  1646.0  5675.4 19210.8 35629.1  84651.3    90090  1622069513327  1622069533594
read      382.0   342.8    68.9   127.1   150.9   330.8   410.0   459.2   498.3   548.4   622.2   746.5  1463.8  3471.1  9147.2  90193.4    90100  1622069535097  1622069555344
read      382.4   335.6    68.9   128.1   152.5   335.1   414.4   462.4   500.2   548.3   618.7   736.0  1338.8  3356.0  9954.0  90223.3    90110  1622069556847  1622069577119
read      441.0   575.0    68.9   133.0   164.0   378.9   465.5   516.3   555.3   608.3   688.6   847.5  1702.1  7895.0 28750.3  90147.3    90120  1622069578623  1622069598873
read      582.3  1047.1    68.9   159.8   214.0   433.4   507.3   568.6   637.0   744.5   880.1  1308.1  2852.3 12838.6 32261.5  89391.5    90130  1622069600375  1622069620621
read      596.3   900.7    68.9   178.8   245.3   484.5   559.8   622.3   679.8   770.1   909.4  1103.9  2624.4 12054.4 32019.5  90046.8    90140  1622069622123  1622069642373
read      400.2   387.1    63.8   128.0   154.3   345.8   429.4   480.8   522.5   576.5   650.7   784.5  1519.5  3963.0 12342.4  90167.3    90150  1622069643875  1622069664126
