#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      327.6   223.3    63.8   112.4   133.3   308.4   377.1   419.3   448.8   482.9   526.3   588.6   789.1  1465.6  8121.2  29901.9    30000  1622143053959  1622143074085
read      339.4   496.6    63.8   100.1   114.9   266.9   350.6   404.3   446.5   500.3   579.2   750.8  1251.1  7170.7 19736.1  30008.9    30010  1622143075588  1622143095710
read      369.6   641.8    63.8    98.8   112.6   252.1   341.4   398.8   446.6   513.4   630.4   848.2  3079.3  8519.7 19498.8  29961.5    30020  1622143097213  1622143117310
read      344.2   515.9    63.8    98.5   112.3   254.5   342.6   398.6   444.5   503.8   602.1   810.0  1449.8  6624.2 19713.5  29988.4    30030  1622143118813  1622143138917
read      348.1   495.7    63.8    97.9   111.6   254.2   343.2   399.9   446.6   507.4   614.8   828.2  1595.2  6373.4 18948.0  30042.0    30040  1622143140420  1622143160516
read      362.5   552.4    63.8    98.5   112.5   256.2   344.1   400.9   447.6   508.9   622.5   855.4  2993.4  6152.8 20317.4  29997.5    30050  1622143162019  1622143182124
read      349.1   450.6    63.8    98.0   112.0   255.5   339.8   395.6   440.9   502.3   607.4   822.8  2844.9  5404.0 11785.1  30044.9    30060  1622143183627  1622143203726
read      351.7   513.1    63.8    98.0   111.8   254.5   339.5   396.8   443.7   507.1   629.5   855.5  1733.6  6545.8 18702.3  30132.7    30070  1622143205230  1622143225325
read      374.1   530.2    63.8    98.1   112.3   273.0   361.1   419.4   467.5   532.9   639.3   852.2  2932.1  5813.5 16060.4  30069.5    30080  1622143226828  1622143246932
read      384.0   576.1    63.8    99.9   114.8   269.9   358.5   416.3   466.5   539.6   668.6   882.5  2939.1  6922.4 16002.3  30057.9    30090  1622143248436  1622143268529
read      372.6   512.1    63.8    99.7   114.5   263.8   350.9   407.5   455.1   521.7   651.3   894.1  2885.3  5662.4 13944.3  30084.1    30100  1622143270031  1622143290131
read      373.3   538.4    63.8   100.4   115.0   261.6   350.9   408.8   457.1   524.6   653.1   889.3  2865.9  6359.7 16060.5  30088.2    30110  1622143291633  1622143311736
read      363.7   587.5    63.8    99.0   113.1   258.7   345.5   404.4   453.7   516.7   628.4   856.3  2773.6  6316.2 25000.6  30195.4    30120  1622143313238  1622143333339
read      350.1   577.7    63.8   100.0   114.8   262.2   350.0   404.4   448.0   504.1   594.2   803.4  1523.2  6410.3 22704.7  30106.8    30130  1622143334844  1622143354947
read      348.6   476.5    63.8    98.6   112.6   257.6   346.0   403.6   450.7   511.9   613.0   801.3  2161.2  6274.4 16185.5  30132.5    30140  1622143356451  1622143376552
read      361.4   541.7    63.8    98.5   112.5   253.5   340.9   399.1   448.5   515.9   642.1   864.3  2672.7  6552.6 17160.3  30158.1    30150  1622143378054  1622143398157
