#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      401.3   361.8    68.9   122.5   145.7   342.7   433.7   487.6   529.1   581.4   654.1   789.6  1902.8  3025.7 11352.4  59902.6    60000  1622071930744  1622071941075
read      395.1   347.5    68.9   120.6   142.8   334.5   420.0   470.1   509.4   562.4   634.8   797.2  1896.6  2867.4  8617.6  60099.5    60010  1622071942577  1622071952863
read      445.4   519.5    68.9   123.3   146.2   345.2   436.4   493.5   540.0   603.9   715.3  1241.9  2252.7  4870.3 13942.4  60019.2    60020  1622071954365  1622071964639
read      419.6   468.7    68.9   121.5   144.6   346.1   435.2   486.9   527.5   581.3   658.3   833.3  2178.7  4069.1 12549.9  60031.2    60030  1622071966142  1622071976415
read      429.5   555.4    68.9   122.2   144.1   329.7   418.0   473.3   520.8   584.8   685.6  1042.7  2205.9  6338.5 17546.5  60058.4    60040  1622071977917  1622071988183
read      608.9  1324.3    68.9   131.2   162.3   399.7   496.1   557.5   615.5   711.5   928.5  1750.1  3706.7 21241.6 35338.1  60058.6    60050  1622071989685  1622071999971
read      813.9  1574.6    74.4   148.5   196.0   461.1   578.4   703.5   872.7  1314.5  1718.0  2390.5  6671.4 25399.4 36511.2  59919.9    60060  1622072001475  1622072011741
read      721.7  1596.1    74.4   130.3   165.6   398.4   490.4   575.1   672.2   852.8  1516.5  2200.2  7519.4 26163.5 37274.7  59949.2    60070  1622072013243  1622072023512
read      723.8  1339.8    68.9   132.3   171.3   428.0   538.0   626.0   741.1  1046.2  1719.8  2214.9  4674.1 17327.0 35207.8  59751.4    60080  1622072025014  1622072035272
read      654.3  1518.5    68.9   123.5   152.8   375.9   474.5   545.1   611.6   728.7  1092.7  2092.4  5806.0 24799.9 35414.8  60070.4    60090  1622072036775  1622072047022
read      668.0  1317.5    68.9   125.8   157.5   391.3   494.4   577.5   668.2   870.6  1508.1  2125.2  4517.3 17352.5 35241.4  59990.2    60100  1622072048524  1622072058778
read      563.1   900.0    68.9   128.7   156.5   395.8   491.3   549.9   605.1   692.9   944.5  1814.9  2892.9  9610.9 31614.1  60064.3    60110  1622072060280  1622072070545
read      386.9   343.3    68.9   119.5   141.4   334.5   419.1   467.5   504.8   551.0   617.0   743.3  1815.9  2831.1 12050.6  60086.0    60120  1622072072047  1622072082305
read      393.0   352.3    63.8   119.2   141.8   337.4   422.6   471.2   510.2   561.5   630.8   776.1  1862.8  2996.1  8753.0  60173.8    60130  1622072083806  1622072094071
read      432.1   535.6    68.9   120.2   143.9   353.9   444.4   496.9   537.8   591.4   672.7   869.3  2277.2  5135.5 18603.9  60063.2    60140  1622072095573  1622072105836
read      417.6   452.8    68.9   119.1   142.0   345.7   433.9   487.0   528.3   582.2   659.5   842.5  2149.6  4028.0 12435.2  60038.4    60150  1622072107338  1622072117602
read      417.3   417.8    68.9   119.6   143.3   349.7   438.4   489.4   530.5   583.8   659.3   838.0  2124.2  3614.0 12070.5  59973.1    60160  1622072119104  1622072129375
read      464.7   667.3    68.9   125.4   150.5   379.1   473.1   528.7   571.6   627.2   713.8   918.9  2357.5  8579.2 30963.8  60101.5    60170  1622072130878  1622072141143
read      472.3   720.9    74.4   124.5   149.4   375.7   468.3   524.8   570.8   630.3   725.3   986.9  2512.7  8559.3 31333.3  60130.9    60180  1622072142646  1622072152895
read      447.3   607.2    68.9   119.3   142.8   353.6   450.6   508.0   552.7   613.4   705.1   937.2  2338.4  7181.3 21296.9  60068.4    60190  1622072154399  1622072164660
read      439.7   641.1    68.9   118.8   141.2   343.6   434.1   489.0   533.7   593.2   680.9   926.7  2335.0  7521.3 30287.6  60202.8    60200  1622072166162  1622072176413
read      582.5   749.2    68.9   124.2   149.5   356.6   462.5   537.6   615.7   839.5  1673.7  2146.7  2897.7  4862.0 24067.9  60225.4    60210  1622072177915  1622072188187
read      448.2   645.9    74.4   119.3   143.5   361.0   451.0   503.0   545.4   601.4   684.4   920.2  2307.8  7301.3 30579.4  60241.8    60220  1622072189689  1622072199947
read      438.4   618.8    68.9   116.1   139.1   351.3   437.9   488.9   529.6   585.4   669.2   886.2  2329.4  7736.5 29150.8  60348.2    60230  1622072201449  1622072211704
read      432.4   618.6    68.9   123.8   147.2   351.6   440.4   494.6   537.7   593.0   677.9   868.8  2107.0  7419.1 29273.4  60300.5    60240  1622072213206  1622072223461
read      391.1   339.7    68.9   121.0   142.8   337.7   423.2   471.4   510.3   561.4   631.1   772.0  1795.5  2872.3 10159.5  60230.5    60250  1622072224963  1622072235213
