#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      326.8   211.0    59.1   107.0   126.5   304.6   375.9   417.9   449.6   488.3   540.6   623.5   827.0  1521.8  6453.1  69951.7    70000  1622145879368  1622145899488
read      348.3   330.9    63.8   106.9   127.4   308.8   380.3   422.7   455.8   498.7   558.6   666.7  1324.8  4732.7  9994.6  69933.1    70010  1622145900990  1622145921105
read      548.2   848.0    63.8   117.3   143.6   325.0   407.4   486.7   583.5   793.0  1363.9  1724.7  3543.1  9929.1 20126.4  70029.7    70020  1622145922608  1622145942703
read      565.7   858.6    63.8   120.3   148.6   334.7   427.1   516.4   625.5   891.1  1395.4  1736.8  3670.3  9959.0 21755.9  70018.6    70030  1622145944210  1622145964306
read      528.3   848.8    63.8   114.5   138.8   316.0   400.9   471.7   554.4   726.5  1285.1  1675.9  3731.3 10062.8 20487.3  69993.4    70040  1622145965808  1622145985916
read      566.0   959.3    63.8   118.4   146.2   333.1   417.5   492.8   585.3   777.0  1335.3  1749.3  4473.3 12074.2 24938.0  70020.6    70050  1622145987420  1622146007515
read      567.1   871.9    63.8   122.8   150.8   333.4   424.0   514.5   627.5   921.1  1405.0  1735.9  3306.6 10079.1 23486.5  70081.6    70060  1622146009019  1622146029122
read      552.0   926.8    63.8   118.5   145.3   327.9   413.2   484.9   566.9   731.0  1280.9  1708.9  4563.6 12017.6 24448.6  70100.3    70070  1622146030626  1622146050735
read      552.8   872.5    59.1   118.9   145.9   329.6   417.6   495.6   591.5   816.4  1365.0  1724.7  3322.4 10874.3 24135.5  70028.1    70080  1622146052237  1622146072335
read      536.7   906.5    63.8   115.7   142.2   322.8   406.7   470.6   539.0   670.5  1177.1  1726.8  4428.4 11716.7 23980.9  70081.7    70090  1622146073837  1622146093939
read      560.3   938.6    63.8   117.1   143.5   328.1   413.1   493.0   592.8   826.8  1369.6  1723.2  4182.0 11279.5 24872.6  70089.5    70100  1622146095441  1622146115536
read      538.8   881.6    63.8   115.7   141.2   323.9   409.1   476.7   549.5   696.7  1241.5  1684.1  4647.6 10028.7 20890.0  70070.8    70110  1622146117039  1622146137136
read      548.2   847.6    63.8   118.0   144.8   328.8   417.5   493.0   579.8   764.8  1343.2  1704.8  4111.8  9740.5 20262.9  70156.6    70120  1622146138638  1622146158739
read      543.0   740.3    63.8   117.8   144.6   326.2   415.3   498.0   605.6   911.9  1400.5  1733.7  2900.7  8307.0 19143.1  70083.2    70130  1622146160245  1622146180341
read      530.4   764.5    63.8   118.3   146.9   337.2   420.6   490.1   567.0   715.3  1289.3  1681.3  2970.7  8730.0 19569.4  70146.3    70140  1622146181842  1622146201940
read      331.9   212.0    59.1   106.0   124.9   313.5   385.0   425.3   456.5   495.5   547.2   629.6   831.8  1645.4  6202.8  70126.9    70150  1622146203443  1622146223537
read      331.3   218.7    59.1   105.9   124.9   312.9   384.5   425.0   456.1   495.5   547.5   625.4   810.6  1672.8  8003.5  70050.4    70160  1622146225041  1622146245137
read      331.8   216.0    59.1   106.2   125.3   312.6   382.9   423.3   455.1   496.4   549.3   628.4   827.4  1724.3  7688.0  70090.2    70170  1622146246641  1622146266743
read      334.0   213.0    63.8   106.2   125.4   314.5   386.2   427.1   459.1   500.6   553.9   634.6   839.0  1702.9  7077.9  70120.4    70180  1622146268247  1622146288347
read      332.3   216.8    59.1   104.8   123.4   308.4   382.0   425.8   459.3   501.2   555.9   642.9   862.9  1740.0  7257.9  70237.3    70190  1622146289850  1622146309948
read      332.9   226.6    59.1   104.9   123.8   311.9   383.6   425.3   457.4   498.2   552.2   635.8   845.4  1745.2  7806.5  70172.0    70200  1622146311449  1622146331547
read      332.1   217.4    63.8   106.0   125.0   311.2   382.7   424.2   456.9   498.9   552.7   633.7   837.0  1709.4  7661.0  70172.2    70210  1622146333050  1622146353154
read      435.9   562.4    63.8   111.3   134.0   324.1   402.3   454.0   499.3   566.0   680.4  1334.9  2418.2  7568.5 13882.3  70226.1    70220  1622146354656  1622146374762
read      518.9   684.6    63.8   117.2   141.4   314.1   402.8   481.3   575.4   833.9  1351.2  1740.2  2667.9  6674.6 18426.3  70156.5    70230  1622146376264  1622146396360
read      515.8   698.7    63.8   115.9   139.9   311.6   402.4   483.8   574.0   808.5  1324.9  1718.7  2648.0  8469.6 16768.9  70220.0    70240  1622146397866  1622146417969
read      530.4   729.0    63.8   118.5   144.4   322.5   413.1   491.7   581.8   807.3  1340.2  1766.8  2784.8  8469.0 18964.2  70194.9    70250  1622146419471  1622146439575
read      562.9   819.0    63.8   123.1   152.5   334.6   424.9   512.9   622.5   923.5  1422.1  1787.5  2983.6  9871.2 24016.7  70182.1    70260  1622146441077  1622146461197
read      531.9   778.4    63.8   114.5   138.8   315.7   403.7   488.3   585.5   823.6  1352.9  1721.7  2889.3  9449.1 18695.2  70225.9    70270  1622146462699  1622146482803
read      548.9   793.3    63.8   120.1   147.1   327.6   417.0   500.7   603.0   866.8  1395.0  1762.4  2940.8  9379.8 19803.8  70262.5    70280  1622146484306  1622146504403
read      545.5   855.6    63.8   117.2   143.9   324.3   415.2   494.4   584.9   804.6  1339.6  1736.1  3076.5 10716.3 24545.6  70261.5    70290  1622146505914  1622146526010
read      534.4   746.4    63.8   118.1   144.2   322.2   408.3   489.0   587.8   860.7  1381.9  1743.2  2757.4  8550.3 19278.4  70301.0    70300  1622146527517  1622146547609
read      545.7   937.4    63.8   115.3   141.9   321.8   405.0   475.9   557.0   733.5  1331.3  1825.9  2975.2 12609.0 25408.3  70207.7    70310  1622146549118  1622146569222
read      552.2   791.1    63.8   120.5   148.3   329.8   419.1   500.1   597.1   831.2  1390.7  1788.2  3221.8  8726.2 19690.6  70372.2    70320  1622146570726  1622146590826
read      555.3   771.4    63.8   122.7   151.7   335.8   425.5   508.1   612.3   885.8  1402.6  1745.6  3003.3  8876.6 19129.0  70362.1    70330  1622146592327  1622146612427
read      536.6   737.7    63.8   119.7   146.2   323.8   412.7   493.1   588.5   827.0  1366.5  1760.3  2890.4  8412.8 19026.0  70287.6    70340  1622146613929  1622146634031
read      459.0   698.1    63.8   111.9   136.4   322.0   400.0   454.4   503.2   575.6   720.0  1443.3  2608.5  8692.5 21043.4  70319.8    70350  1622146635533  1622146655629
read      333.5   220.4    59.1   106.3   125.7   311.9   384.5   426.2   458.0   498.2   550.3   635.5   848.5  1678.1  7991.9  70381.7    70360  1622146657133  1622146677239
read      336.8   237.1    63.8   105.6   124.8   311.4   389.2   433.5   465.2   503.3   552.8   638.1   876.8  1873.0  8100.7  70201.0    70370  1622146678741  1622146698853
read      385.1   488.3    63.8   108.3   128.8   323.9   399.4   442.7   476.8   525.3   594.6   737.2  1710.4  6879.9 15576.3  70332.6    70380  1622146700354  1622146720452
read      381.4   461.7    63.8   107.2   127.7   325.3   400.2   442.2   475.0   520.7   589.0   723.6  1686.7  6549.2 14620.4  70370.1    70390  1622146721954  1622146742050
read      382.0   469.9    63.8   107.5   128.1   324.7   399.2   441.4   474.6   521.6   590.8   722.5  1695.3  6154.2 15844.9  70410.7    70400  1622146743553  1622146763649
read      391.1   527.2    59.1   108.7   129.7   327.7   402.0   445.2   479.4   526.7   598.8   743.2  1738.3  7463.3 18512.8  70447.1    70410  1622146765151  1622146785247
read      378.5   473.6    63.8   107.9   128.1   316.5   391.8   436.4   473.2   522.1   590.6   734.9  1662.0  6275.9 15895.7  70283.3    70420  1622146786750  1622146806848
read      381.4   481.0    63.8   107.7   128.5   323.4   398.8   441.1   473.2   518.6   585.8   713.3  1677.6  6791.9 15522.1  70225.3    70430  1622146808351  1622146828452
read      384.3   515.8    63.8   107.9   128.2   322.2   396.6   439.9   474.2   521.7   590.4   729.9  1688.1  7219.3 16501.8  70372.9    70440  1622146829954  1622146850051
read      386.1   450.7    63.8   108.3   129.2   324.9   401.6   446.4   479.6   527.3   600.7   745.1  1715.3  5782.9 15472.8  70414.5    70450  1622146851556  1622146871663
read      375.8   489.9    63.8   107.5   127.3   314.3   386.8   431.5   467.7   515.7   583.3   716.0  1666.1  7124.8 15865.1  70437.1    70460  1622146873165  1622146893264
read      381.1   495.5    59.1   107.3   127.9   322.5   397.5   439.7   471.3   517.2   585.7   713.0  1644.2  7147.5 15485.9  70484.1    70470  1622146894766  1622146914870
read      379.5   508.1    63.8   107.3   127.8   320.9   395.6   436.5   468.3   512.7   581.2   705.3  1641.3  6773.0 19114.3  70432.7    70480  1622146916372  1622146936470
read      378.5   460.1    63.8   108.4   129.4   324.8   400.8   442.4   473.0   515.7   582.4   706.3  1602.6  6340.7 13893.5  70489.5    70490  1622146937973  1622146958075
read      382.3   510.0    63.8   107.4   128.2   321.3   396.6   437.6   469.2   514.3   583.2   711.6  1669.8  7048.3 17286.2  70497.8    70500  1622146959577  1622146979674
read      374.7   500.2    59.1   106.5   126.4   309.7   381.8   424.8   459.5   508.2   582.5   726.7  1654.1  7688.4 15423.1  70597.3    70510  1622146981176  1622147001278
read      384.2   496.7    63.8   108.3   129.4   319.2   395.3   438.3   471.4   518.4   590.3   733.7  1699.8  6800.1 15537.8  70534.2    70520  1622147002780  1622147022882
read      383.1   484.3    63.8   108.3   129.6   324.7   401.7   443.1   473.7   517.3   587.1   714.5  1617.4  6914.2 15594.9  70526.1    70530  1622147024384  1622147044489
