#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      273.7   341.0    74.4   142.6   171.0   247.7   281.8   302.4   317.0   334.5   356.6   393.0   478.8  5658.0 10164.5   4932.2     5000  1621778281862  1621778287196
read      330.7   236.3    68.9   136.7   169.8   306.2   373.8   413.4   437.8   466.5   502.0   553.4   668.0  2913.8  8354.7  10013.8    10000  1621778288699  1621778294001
read      378.2   229.3    68.9   135.0   171.1   352.7   438.9   485.2   517.6   553.7   597.5   662.6   801.7  1969.8  9546.6  15021.8    15000  1621778295503  1621778300776
read      402.5   400.2    68.9   130.6   164.7   379.5   468.2   514.4   547.1   586.3   633.7   699.1   839.3  4749.8 14693.7  19996.6    20000  1621778302278  1621778307555
read      422.7   295.3    68.9   131.2   166.5   400.9   499.5   550.0   587.5   631.2   686.6   768.9   952.1  3126.9  9765.7  24982.8    25000  1621778309057  1621778314348
read      445.7   325.9    68.9   133.1   168.1   419.5   526.6   582.5   622.1   670.0   733.2   828.2  1039.4  2182.8 14079.0  29904.2    30000  1621778315850  1621778321114
read      454.2   296.3    68.9   135.0   171.2   436.8   547.4   598.8   634.3   676.7   732.4   820.0   997.7  1552.3 12083.4  34960.2    35000  1621778322616  1621778327879
read      459.6   293.7    68.9   135.2   172.0   438.1   550.1   604.3   640.4   685.3   742.9   838.0  1039.0  3502.5  9493.0  40006.8    40000  1621778329382  1621778334639
read      458.5   282.3    68.9   133.0   172.1   436.6   546.0   602.6   641.6   687.4   746.7   846.2  1066.4  1480.1 10456.7  45046.6    45000  1621778336140  1621778341396
read      445.2   317.7    63.8   127.2   163.7   420.2   523.7   579.4   618.4   664.3   728.7   836.7  1094.5  1751.5 14839.0  50025.6    50000  1621778342898  1621778348161
read      454.7   312.2    63.8   129.2   166.0   429.2   534.1   590.5   631.9   681.5   745.4   859.7  1093.6  1480.7 12264.5  54808.2    55000  1621778349663  1621778354934
read      457.0   292.3    68.9   132.9   171.4   431.7   532.6   588.4   628.8   677.7   744.9   866.7  1146.9  1472.6 10268.4  59886.5    60000  1621778356436  1621778361689
read      450.3   287.7    68.9   131.2   170.8   425.1   519.4   571.4   611.0   661.0   733.3   862.1  1156.1  1648.0  9557.7  64986.6    65000  1621778363191  1621778368446
read      451.5   268.3    63.8   135.6   178.5   429.0   521.9   573.4   612.6   661.8   728.9   843.0  1083.3  1478.2  8800.0  69889.4    70000  1621778369948  1621778375206
read      475.2   292.5    68.9   147.3   196.9   448.4   542.9   594.8   635.3   685.2   755.1   879.5  1180.9  1621.4 10998.8  74907.7    75000  1621778376708  1621778381988
read      741.7   364.5    68.9   398.6   498.0   702.0   743.3   776.1   800.0   859.1  1101.7  1362.6  1551.5  2528.9 13739.2  79686.8    80000  1621778383490  1621778388749
read      797.4   340.6    63.8   635.8   651.3   721.7   746.0   772.2   791.8   822.5  1286.9  1413.6  1547.3  2180.8 13994.1  81838.8    85000  1621778390251  1621778395502
read      808.2   377.9    63.8   643.4   655.4   728.3   757.6   783.9   800.4   845.4  1297.2  1430.4  1575.7  3161.8 15524.4  81138.8    90000  1621778397004  1621778402257
read      796.3   363.7    63.8   609.9   640.3   715.4   746.4   778.9   801.6   862.6  1287.2  1403.4  1565.0  2952.5 13824.9  82325.6    95000  1621778403759  1621778409013
read      847.3   392.5    68.9   666.2   695.8   764.9   797.2   819.8   849.0   890.7  1331.4  1487.8  1650.0  3610.7 16648.4  77539.8   100000  1621778410515  1621778415771
read      812.8   436.4    68.9   620.2   647.0   725.1   760.9   792.3   817.8   874.2  1300.8  1431.6  1595.2  4399.2 17434.4  80956.9   105000  1621778417273  1621778422542
read      849.3   395.0    68.9   663.7   694.8   766.5   799.3   825.5   853.0   897.9  1338.7  1493.9  1662.7  3451.9 16090.1  77381.0   110000  1621778424045  1621778429301
read      830.4   362.5    68.9   651.3   673.0   752.8   787.8   804.3   829.5   866.6  1290.3  1465.9  1613.1  2934.6 15402.9  78954.1   115000  1621778430803  1621778436059
read      842.6   383.2    68.9   652.7   682.9   763.7   795.7   815.0   846.7   892.8  1315.4  1481.0  1634.0  3015.2 17034.3  77911.4   120000  1621778437562  1621778442825
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.79%,69.35%,100.00%
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      294.1   558.2    80.4   150.6   181.4   266.1   302.0   322.9   338.7   358.8   385.6   423.3   527.5  4889.7 36205.9   4926.0     5000  1621778521942  1621778527265
read      343.2   218.8    74.4   140.5   174.7   318.9   392.8   430.7   457.6   488.1   525.7   581.0   706.0  2032.0  8784.0  10058.0    10000  1621778528767  1621778534064
read      388.9   315.6    68.9   136.8   172.7   352.7   441.6   492.2   528.5   571.0   624.9   704.4   886.0  3145.0 12239.0  15074.0    15000  1621778535566  1621778540830
read      421.5   220.6    68.9   135.6   175.0   404.6   498.0   547.9   583.8   625.6   677.3   753.1   928.2  1600.6  5524.4  20072.8    20000  1621778542332  1621778547619
read      438.6   280.3    74.4   135.2   173.4   422.0   521.4   573.7   611.4   655.5   712.3   796.0   971.0  1458.1 12570.4  24888.4    25000  1621778549121  1621778554406
read      453.9   301.0    68.9   136.8   173.9   437.1   544.0   594.3   631.4   675.6   734.1   825.1  1021.2  1981.5 13173.7  30006.8    30000  1621778555907  1621778561165
read      457.3   289.3    68.9   138.2   176.5   438.2   548.0   600.8   637.3   680.4   736.7   830.4  1013.9  2226.0  8842.2  34965.8    35000  1621778562666  1621778567936
read      458.2   333.2    68.9   136.0   174.8   436.5   544.7   598.0   635.1   680.3   740.5   837.4  1045.9  1720.9 12922.4  39949.2    40000  1621778569438  1621778574733
read      460.2   308.9    63.8   132.2   168.7   437.0   544.5   600.0   638.6   686.2   749.7   858.8  1111.5  1689.2 11155.7  45069.0    45000  1621778576236  1621778581498
read      453.0   294.7    68.9   130.6   165.3   426.7   530.9   587.8   628.9   678.8   745.6   864.9  1129.4  1631.5  9444.5  49951.2    50000  1621778583001  1621778588276
read      458.6   307.3    68.9   131.4   166.7   428.1   531.7   587.8   629.3   680.2   753.5   900.2  1232.8  1602.4 10872.6  54978.2    55000  1621778589779  1621778595037
read      466.5   296.0    63.8   134.3   172.5   439.8   544.5   605.3   648.7   699.4   764.4   879.7  1155.2  1609.4 10165.4  59846.2    60000  1621778596539  1621778601788
read      459.5   272.7    63.8   136.8   177.5   434.9   535.2   591.4   633.9   681.8   743.9   867.2  1111.6  1488.2  9226.1  64930.8    65000  1621778603291  1621778608552
read      460.7   300.6    63.8   138.7   182.7   434.4   529.7   582.0   621.9   674.1   747.3   870.2  1133.9  1558.5 12334.7  69866.0    70000  1621778610054  1621778615310
read      498.1   306.1    63.8   152.0   206.8   467.5   571.0   630.4   674.2   726.3   793.5   925.6  1282.5  1738.6 10871.7  74914.2    75000  1621778616824  1621778622083
read      563.1   357.7    68.9   199.8   266.1   537.4   630.8   677.9   714.4   762.9   848.3  1051.1  1380.0  1973.0 16089.6  79896.8    80000  1621778623586  1621778628843
read      845.2   384.6    74.4   654.7   686.3   764.0   797.2   821.0   850.9   901.3  1319.1  1484.0  1648.2  2980.2 15193.1  77661.3    85000  1621778630345  1621778635608
read      815.4   406.4    68.9   632.3   653.1   731.5   767.2   793.0   810.0   868.1  1298.7  1439.3  1600.9  3563.6 17430.4  80608.0    90000  1621778637111  1621778642372
read      809.3   413.1    68.9   618.0   645.8   727.3   764.1   791.7   809.0   863.6  1284.6  1425.9  1594.4  3791.8 18152.4  81261.2    95000  1621778643875  1621778649132
read      805.5   383.2    68.9   611.7   641.7   726.4   765.2   792.3   810.0   861.8  1269.3  1424.1  1593.8  2716.9 16868.4  81455.2   100000  1621778650634  1621778655885
read      814.6   383.9    63.8   617.8   646.7   730.3   770.7   797.7   825.7   881.1  1297.8  1435.7  1603.4  4179.8 15882.2  80605.8   105000  1621778657387  1621778662659
read      832.2   391.8    74.4   644.0   659.4   744.3   788.6   813.5   848.6   905.9  1316.8  1461.5  1635.2  3138.9 16890.6  78935.2   110000  1621778664161  1621778669419
read      842.4   381.6    74.4   650.6   676.5   760.4   796.3   821.1   851.1   901.6  1318.2  1479.9  1660.0  3468.1 16074.0  77907.0   115000  1621778670921  1621778676167
read      837.5   400.5    74.4   626.0   652.4   746.5   796.1   833.5   866.4   941.3  1311.1  1463.3  1689.5  3528.3 15633.9  78447.6   120000  1621778677669  1621778682933
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.69%,70.35%,100.00%
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      278.0   322.7    80.4   147.3   174.7   258.0   293.5   313.1   327.4   344.5   367.8   399.0   486.5  4213.5 17794.1   5051.4     5000  1621778761810  1621778767134
read      329.5   352.3    74.4   138.4   167.0   297.5   366.3   402.1   428.2   458.3   495.0   545.9   674.5  4679.2 17579.3   9957.6    10000  1621778768638  1621778773931
read      367.4   267.1    74.4   132.7   164.1   341.4   424.2   470.3   502.6   539.0   582.9   642.3   786.2  2767.1  9925.6  14862.2    15000  1621778775433  1621778780703
read      397.4   234.2    68.9   133.1   167.5   381.7   468.5   514.4   547.0   585.7   634.5   704.5   846.6  2477.6  8135.1  20040.8    20000  1621778782205  1621778787472
read      420.6   256.0    68.9   131.1   167.5   399.9   499.4   549.5   586.2   630.5   686.9   771.8   957.4  1341.8  8621.3  25038.2    25000  1621778788975  1621778794250
read      443.6   325.3    68.9   134.8   169.9   426.0   530.5   580.7   616.1   658.0   713.9   797.0   976.9  2835.2  9531.3  29900.4    30000  1621778795752  1621778801014
read      450.7   278.5    68.9   135.6   173.3   425.2   531.1   585.9   624.8   672.7   738.2   842.7  1073.5  1615.4  8899.2  35069.9    35000  1621778802517  1621778807773
read      455.2   322.6    68.9   134.5   172.9   429.5   536.5   593.6   634.5   682.5   745.6   848.7  1067.2  1530.6 12948.7  39872.4    40000  1621778809275  1621778814538
