#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      293.0   579.8    80.4   142.6   166.5   263.7   307.2   330.9   347.4   366.7   390.2   425.4   508.9  7693.1 31523.6   4983.8     5000  1621775462438  1621775467764
read      368.0   363.4    74.4   127.3   149.6   320.3   414.0   473.0   511.6   552.0   608.0   688.7   859.8  4629.1 15057.0  10028.5    10000  1621775469266  1621775474576
read      404.2   315.6    74.4   123.1   144.8   334.2   459.5   557.1   619.9   683.1   762.4   854.2  1015.7  2117.8 12053.8  15010.4    15000  1621775476079  1621775481369
read      441.1   403.3    74.4   117.5   136.6   312.7   433.4   614.5   782.3   872.4   955.5  1058.9  1241.4  3975.1 11955.6  20031.6    20000  1621775482871  1621775488150
read      478.8   473.2    68.9   115.1   134.6   322.1   428.4   554.7   875.4  1017.4  1133.4  1264.7  1491.5  3415.4 12428.3  25057.4    25000  1621775489652  1621775494948
read      464.9   466.5    68.9   113.5   131.5   307.8   402.4   496.3   770.7  1030.6  1165.6  1312.5  1569.8  2684.1 15520.2  29956.4    30000  1621775496450  1621775501745
read      479.0   504.9    63.8   112.6   130.5   310.8   406.5   493.4   623.0  1069.3  1258.6  1444.5  1830.3  3102.3 12867.8  35104.8    35000  1621775503247  1621775508524
read      465.7   489.8    68.9   113.0   129.9   300.2   392.7   460.2   545.4  1046.4  1285.3  1489.8  1812.4  2969.5  8300.4  40019.2    40000  1621775510026  1621775515288
read      473.1   492.3    68.9   115.6   135.2   298.5   392.3   470.8   580.1  1031.2  1296.9  1549.3  1866.3  2623.8 12325.3  44813.2    45000  1621775516790  1621775522053
read      468.6   503.7    63.8   115.2   134.2   299.4   383.4   453.2   532.6   927.4  1343.7  1592.3  1976.4  2611.4 11361.9  50090.0    50000  1621775523555  1621775528817
read      447.0   527.4    63.8   107.4   123.7   281.4   361.0   421.3   479.0   570.1  1384.4  1710.0  2093.0  2738.3 12412.7  54931.1    55000  1621775530319  1621775535573
read      470.6   568.3    63.8   114.5   133.7   292.5   383.7   454.2   521.9   672.6  1314.6  1726.8  2222.2  3517.1 13113.6  60086.0    60000  1621775537075  1621775542343
read      505.7   577.2    68.9   121.4   143.0   311.3   412.0   496.2   588.3   866.5  1350.8  1779.9  2387.4  3911.5 12888.1  64867.6    65000  1621775543846  1621775549106
read      503.7   680.0    63.8   118.6   141.4   307.6   397.8   468.5   537.5   680.5  1278.0  1932.8  2565.0  5491.4 18966.3  70112.2    70000  1621775550608  1621775555877
read      466.6   636.9    63.8   120.8   141.3   284.8   373.5   441.3   505.0   638.4  1089.0  1772.4  2433.4  5701.2 19749.0  74789.2    75000  1621775557379  1621775562642
read      875.2  1226.2    68.9   248.5   278.1   438.5   799.9  1450.4  1578.1  1685.7  1806.7  2016.7  2865.6 13874.7 32424.7  74740.8    80000  1621775564145  1621775569403
read      877.5  1233.4    86.8   272.7   292.6   436.4   785.4  1453.1  1565.7  1683.3  1806.6  2006.1  2887.6 14962.3 33108.3  75959.2    85000  1621775570905  1621775576169
read      912.5  1380.4    80.4   278.0   298.1   461.6   810.1  1467.9  1590.5  1709.9  1835.9  2027.9  2949.8 17470.7 35358.5  73866.6    90000  1621775577672  1621775582936
read      853.6  1191.7    74.4   261.5   280.7   432.8   717.8  1434.3  1540.6  1663.7  1785.2  1980.2  2883.0 12887.2 32380.2  78138.8    95000  1621775584438  1621775589699
read      859.4  1159.5    68.9   260.2   281.5   433.9   763.0  1448.6  1559.3  1670.7  1786.2  1977.4  2846.5 15127.5 32470.3  77449.9   100000  1621775591202  1621775596473
read      863.7  1210.1    68.9   267.6   286.5   426.0   738.5  1439.4  1551.6  1669.0  1781.5  1977.5  2850.1 13719.2 32297.5  77290.4   105000  1621775597975  1621775603245
read      850.0  1226.8    68.9   249.0   270.1   430.2   712.0  1430.9  1548.1  1660.4  1769.8  1981.7  2847.7 16718.7 32907.0  78823.2   110000  1621775604747  1621775610012
read      844.0  1177.7    74.4   261.8   281.3   409.2   703.9  1435.1  1540.1  1656.5  1763.8  1952.7  2831.5 16359.6 32370.6  79044.8   115000  1621775611515  1621775616772
read      864.7  1237.1    68.9   268.9   288.6   425.5   748.2  1446.9  1554.0  1670.7  1787.2  1970.8  2836.1 17244.4 33094.0  77372.2   120000  1621775618275  1621775623529
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 88.27%,71.07%,100.00%
