Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1622184883841
Timestamp end: 1622186684228

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      276.5   662.6    80.4   130.7   148.7   218.7   247.5   265.2   278.6   297.4   325.6   384.2  1508.8  8019.3 31314.0   5018.7     5031
read      486.7   590.5    68.9   113.5   133.9   311.1   402.4   469.8   537.9   695.4  1335.8  1742.1  2255.0  4654.0 14702.0  54760.2    54838
read      778.3  1560.2    63.8   175.3   232.0   392.8   548.8   704.1   909.7  1481.8  1697.5  1987.0  6303.4 17619.4 51527.6  74925.6    74868
read      480.6  1238.9    68.9   111.4   129.5   297.7   402.3   501.9   665.5   882.5  1029.6  1192.9  2169.5  9504.7 63569.1  30107.6    30015
read      386.1   985.2    63.8   106.5   121.4   255.5   341.2   398.9   453.8   536.5   712.6  1039.1  2151.7  7064.9 60833.6  40817.4    40743
read      408.1  1361.2    68.9   107.9   122.6   258.9   354.0   432.5   503.9   604.3   726.9   934.9  2313.1  7636.4 63798.8  23638.2    23648
read      779.1  2586.8    80.4   326.0   356.0   466.5   530.4   619.3   744.8   831.5   912.0  1058.4  8141.2 57923.1 70324.5  97684.5    97712
read      512.9  1868.2    68.9   111.2   129.5   290.0   378.5   436.5   492.7   581.1   831.7  1549.1  3577.4 16208.0 68715.1  53727.2    53672
read      500.1  1421.4    63.8   110.6   129.2   291.1   379.4   443.0   507.7   621.6  1099.9  1669.4  2664.7  9690.2 64040.4  55495.5    55395
read      364.0   693.0    68.9   109.9   125.5   257.6   342.7   406.9   466.9   554.4   712.0   924.0  1465.1  5933.4 29580.5  29354.9    29425
read      306.9   352.2    68.9   106.4   121.5   250.4   326.0   378.2   420.2   471.3   539.9   651.0   898.9  3789.3 11945.6  15197.8    15173
read      751.7  1985.9    68.9   180.5   243.1   391.0   508.4   663.1   756.2  1395.8  1591.2  1902.6  5986.0 21871.0 64944.3  82416.0    82475
read      765.6  1952.3    74.4   283.5   319.2   450.3   552.2   698.5   793.1   929.6  1513.8  1822.0  4558.6 21083.7 64129.7  90743.0    90555
read      467.3   764.5    63.8   106.1   122.5   291.7   375.0   434.7   491.9   610.7  1347.1  1639.9  2100.1  6658.4 26870.4  47963.4    47944
read      443.3   691.7    68.9   109.0   126.3   290.6   406.9   556.9   763.0   882.4   980.6  1095.2  1376.4  5852.6 26531.6  28274.5    28313
read      436.8   902.0    63.8   108.9   125.9   282.9   390.8   494.6   654.9   822.0   946.4  1084.7  1524.1  7796.7 55034.3  28539.9    28504
read      367.0   764.7    68.9   105.6   120.1   258.3   352.5   424.5   491.2   594.7   718.4   895.4  1363.2  5777.6 48765.7  22933.5    22886
read      401.1   758.8    63.8   105.6   120.6   265.6   351.3   416.6   477.6   583.8   829.2  1120.7  2330.5  6438.6 32284.3  35697.1    35717
read      380.1   786.9    68.9   109.5   126.6   295.2   394.2   457.5   508.8   573.4   659.2   780.1  1091.5  8092.0 34400.7  14836.4    14828
read      882.7  3167.3    68.9   219.3   269.6   372.8   462.2   584.7   640.2   694.7   803.0  1737.4 12500.1 57488.3 75275.8  81661.2    81704
read      542.6  1317.0    68.9   112.4   132.6   308.3   402.6   475.7   556.4   816.5  1353.4  1720.4  2891.7 11625.8 59588.5  55760.6    55771
read      729.5  2288.2    63.8   170.9   226.8   374.5   455.4   564.1   639.5   715.7   877.8  1789.0  8470.3 37769.4 69175.2  85220.7    85226
read      715.9  2123.6    68.9   145.1   185.6   352.6   451.5   556.6   637.3   776.7  1486.3  2055.0  6578.3 25906.1 71110.9  75068.9    75020
read      353.5   878.6    68.9   109.8   126.1   266.6   358.7   417.5   460.6   515.7   589.1   693.6   941.0  9809.5 44916.1  12492.0    12441
read      508.6  1157.9    63.8   112.7   132.2   302.3   393.7   464.0   540.1   752.4  1268.2  1658.5  2488.3  8810.7 57426.8  56145.1    56208
read      352.4   843.3    68.9   106.4   120.5   260.1   354.0   425.1   479.4   543.7   626.8   796.2  1105.4  5378.1 56820.5  17368.1    17446
read      741.3  2368.9    68.9   185.1   241.2   378.2   454.1   554.3   630.9   697.2   801.1  1702.8  8905.8 36800.3 73530.4  86921.2    86943
read      511.6  1213.1    68.9   110.6   128.7   297.3   390.2   465.9   548.8   792.3  1222.5  1582.8  2812.9  9276.7 58197.8  49185.9    49138
read      518.5  1245.3    63.8   111.4   129.1   290.2   384.8   462.6   551.5   812.4  1202.8  1628.6  3355.9 10270.0 58147.8  49869.6    49839
read      510.2   989.2    68.9   112.8   131.7   306.5   399.4   484.1   589.7   926.0  1266.6  1551.8  2320.3  9432.4 40607.0  47799.8    47752
read      438.3   834.1    68.9   107.9   123.0   276.1   383.8   481.6   587.8   735.8   899.2  1119.5  2365.2  8145.9 37902.9  27154.2    27181
read      371.6  1213.3    80.4   124.4   150.5   249.6   301.7   334.6   359.3   390.3   432.6   515.9  3738.1 16496.8 52410.9   6225.9     6170
read      300.7   579.8    74.4   122.4   146.4   248.1   302.7   335.8   361.2   392.1   431.6   501.0   738.9  6235.8 23613.0   7165.6     7187
read      732.9  2450.6    68.9   273.1   310.6   420.9   484.3   583.2   675.1   747.6   820.3   942.1  8519.1 47379.5 74558.1  99135.9    99387
read      747.7  2462.2    68.9   219.4   278.6   412.7   478.2   570.1   659.8   738.2   827.5  1389.4  8537.6 42760.0 70075.6  92098.3    91970
read      767.5  1828.9    68.9   179.0   238.9   390.7   490.5   625.8   707.6   836.2  1506.6  1894.2  8496.7 31036.2 38570.2  79600.5    79658
read      508.4   889.6    68.9   114.4   134.7   305.2   393.9   460.1   528.1   665.1  1262.9  1781.9  2549.7  9442.4 32025.0  59101.7    59230
read      825.0  2224.2    68.9   187.7   243.9   387.7   476.8   587.8   662.7   740.4   956.9  1938.8 10905.4 31717.0 39032.6  78132.2    78081
read      543.6  1006.1    68.9   119.9   144.0   319.7   407.6   479.1   554.1   711.3  1253.2  1858.1  3114.0 11822.3 32274.5  64296.3    64242
read      475.9   913.9    63.8   110.2   127.1   285.8   381.9   465.9   557.3   773.1  1044.1  1367.0  3238.7  8944.8 32366.0  37714.8    37702
read      521.9  1040.0    68.9   111.4   129.0   298.8   395.7   486.7   602.3   911.7  1195.7  1493.5  3512.2  9984.8 34913.8  40489.6    40686
read      400.5   749.5    63.8   106.5   121.2   260.3   352.9   432.5   506.5   627.8   802.0  1061.0  2305.5  6892.7 31555.0  30311.5    30376
read      477.4   956.5    68.9   109.7   126.2   282.3   379.1   464.4   561.7   790.2  1056.6  1378.4  3092.7  8030.5 32412.4  38405.9    38416
read      554.6  1037.6    68.9   121.7   146.5   322.8   410.9   483.6   561.9   730.1  1341.0  1870.8  3084.3 12915.4 32230.8  65808.5    65892
read      455.8   848.1    68.9   108.7   124.6   277.5   368.8   443.3   521.6   693.3  1000.2  1337.9  2693.3  8880.4 32173.4  39464.4    39560
read      345.1   783.4    74.4   115.3   135.3   258.9   334.0   382.7   419.1   462.7   525.2   623.5  1629.6  9429.2 32033.6  10109.8    10016
read      495.1   819.5    68.9   113.3   132.9   300.4   391.2   459.3   531.8   704.8  1226.4  1671.5  2522.9  8271.0 31428.1  55217.8    55224
read      442.4   838.0    68.9   111.2   130.6   295.0   438.3   598.8   680.9   756.7   830.2   926.7  1431.4 11307.3 31865.6  20028.1    19982
read      381.0   482.2    63.8   108.6   124.8   272.9   360.0   415.0   463.9   535.1   673.6  1112.9  1883.2  4730.5 12237.5  48090.0    48114
read      351.3   418.3    63.8   106.3   121.4   256.0   340.1   395.7   445.0   514.2   657.2   946.9  1612.9  4373.0 10975.4  36238.6    36283
read      291.8   241.0    68.9   105.7   120.6   243.5   317.6   366.7   404.7   452.0   520.1   630.8   869.4  1474.3  7455.9  23287.9    23315
read      284.2   294.6    68.9   113.5   131.1   248.6   308.5   344.0   371.0   406.0   455.5   540.0   728.5  3325.7 10588.1  11182.9    11150
read      650.1  1095.9    68.9   270.3   317.0   424.3   491.1   625.4   721.8   793.1   883.9  1585.1  5125.3  9480.3 32427.1  98714.4    98724
read      490.0   816.8    68.9   112.1   131.5   305.2   399.1   462.9   526.3   634.0  1071.7  1720.2  2548.3  8755.7 31482.2  56870.5    56880
read      289.1   217.5    68.9   111.3   128.9   258.4   320.9   362.0   393.1   430.1   473.4   542.0   729.0  2140.7  8098.2  13407.6    13467
read      643.2  1246.0    68.9   242.3   299.9   422.1   481.2   590.3   694.8   774.2   853.5  1497.5  5283.3 16406.8 35519.3  99366.5    99368
read      362.9   451.3    68.9   107.5   123.1   269.3   355.5   410.7   460.0   530.4   636.1   944.7  1850.7  4679.2 12653.3  46214.4    46206
read      642.0   889.9    68.9   138.4   174.4   367.0   478.4   615.3   769.0  1341.0  1615.9  2010.4  3042.2  9740.2 30573.7  71719.9    71651
read      333.6   294.1    68.9   107.3   123.0   265.2   346.2   404.9   454.7   525.3   637.1   800.4  1150.4  2338.6 10609.1  22829.5    22741
read      500.9   879.9    63.8   113.5   133.6   305.9   396.3   463.2   531.0   658.3  1131.5  1673.7  2638.2 10272.7 31538.1  56745.8    56654
read      651.8  1168.7    68.9   276.8   319.4   426.0   495.0   625.7   717.0   787.0   871.3  1542.9  5320.6 12625.4 33602.3  99542.1    99570
read      327.1   361.3    63.8   109.8   126.5   266.7   342.4   393.6   432.2   481.2   559.4   702.7  1158.1  3440.4  8788.5  23062.2    23047
