Random waveform, supplied seed
Total number of intervals = 360 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133, 28009, 64235, 16387, 62388, 40199, 16884, 55763, 41925, 42341, 93577, 7657, 14232, 30107, 71078, 85372, 54930, 5750, 80137, 41449, 17301, 19930, 41776, 8596, 30870, 69978, 23908, 9848, 71598, 77156, 14083, 87786, 57205, 53142, 77998, 98830, 32447, 74382, 32271, 55273, 68152, 25419, 43187, 60608, 62150, 30864, 69566, 38183, 51253, 53027, 37133, 73413, 78811, 88317, 46504, 46147, 35073, 18693, 46834, 76427, 96007)
Average QPS expected = 51278
Timestamp start: 1622194842412
Timestamp end: 1622196642862

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      276.4   605.3    80.4   137.4   159.4   239.3   266.6   281.9   293.5   308.9   329.8   369.4   813.2  6008.2 35619.6   4946.4     5031
read      417.7   659.6    68.9   117.6   138.0   313.7   398.8   452.3   493.9   546.4   634.9  1051.4  2182.2  7277.1 30587.7  54506.4    54838
read      726.8  1911.0    74.4   139.3   179.5   377.9   447.7   523.7   608.8   726.1   950.3  1906.9  8426.7 31374.6 37495.4  75101.4    74868
read      483.7   621.4    68.9   110.6   129.9   316.9   427.8   534.1   775.6   983.5  1120.8  1276.8  1732.9  6772.2 25751.7  30070.2    30015
read      484.9   821.1    68.9   108.7   126.7   308.7   392.4   461.5   530.4   921.3  1288.5  1503.7  1890.4 10509.5 31152.9  40736.4    40743
read      505.5   971.6    68.9   110.1   129.5   309.5   441.8   634.3   788.3   887.1   982.8  1117.9  2963.6 11096.0 32238.2  23635.8    23648
read      757.6  1376.2    80.4   305.1   326.0   445.6   597.7   713.0   803.6  1032.0  1579.8  1845.5  3866.7 17172.5 36435.6  97674.6    97712
read      509.5   891.1    63.8   113.7   136.0   326.0   409.5   474.4   541.3   674.0  1229.6  1717.4  2565.9  9480.5 35150.2  53589.0    53672
read      472.0   930.0    68.9   109.9   128.0   285.9   371.3   430.6   489.0   584.0   862.6  1529.9  3457.6  9131.4 32130.4  55288.8    55395
read      337.5   367.0    63.8   105.0   118.6   246.9   333.3   393.6   448.0   532.7   685.3   879.0  1360.2  3553.4  9946.3  29653.6    29425
read      366.8   493.7    68.9   110.5   125.9   270.4   375.4   460.8   522.2   584.7   669.2   813.5  1456.3  5530.5 16842.0  15121.4    15173
read      825.1  2350.0    74.4   203.9   264.5   406.5   494.5   580.2   647.9   711.7   823.8  1667.6 12177.7 32038.9 40809.1  82193.0    82475
read      788.2  2102.4    80.4   290.6   322.6   453.2   547.5   624.9   684.8   748.4   854.6  1083.4  8943.9 31682.2 39028.6  90645.0    90555
read      423.7   812.2    68.9   110.3   127.4   278.8   364.4   421.6   469.4   537.6   662.3  1097.2  2850.0  8347.2 31959.3  47946.4    47944
read      298.6   234.0    68.9   105.4   120.1   250.3   324.6   376.8   418.9   468.3   533.4   642.9   868.4  2017.8  8399.4  28401.2    28313
read      356.8   339.9    68.9   105.3   119.7   256.3   345.8   418.8   490.9   634.9   795.6   966.2  1302.6  2716.3  8302.6  28494.0    28504
read      383.6   713.8    63.8   106.1   121.5   262.7   361.0   436.8   509.2   618.4   750.9   909.6  1396.8  7412.6 31962.4  22862.2    22886
read      413.6   579.7    68.9   115.8   132.2   276.7   367.0   434.3   499.8   638.4   985.6  1201.4  1768.5  5867.6 30282.9  35770.6    35717
read      311.0   409.6    74.4   110.8   127.6   252.8   332.0   385.6   427.5   482.8   557.9   662.5   873.2  3288.3 15415.8  14835.6    14828
read      675.8  1458.9    68.9   146.5   189.2   366.4   461.2   566.6   653.1   795.4  1502.1  1900.6  5955.6 28034.1 37164.5  81421.2    81704
read      393.1   706.8    68.9   107.1   123.1   262.4   344.5   398.0   441.3   502.2   595.4  1027.6  2765.0  6383.7 30730.0  55706.4    55771
read      811.1  2156.3    74.4   236.9   277.4   393.7   509.1   609.7   665.0   744.5   998.2  1790.1 10414.4 31797.7 39038.5  85293.8    85226
read      505.1  1078.5    68.9   119.7   144.6   322.0   401.1   460.9   514.9   587.5   709.4  1567.4  3286.1 12471.4 35823.7  75149.6    75020
read      362.0   594.9    74.4   124.0   142.3   284.4   362.1   416.6   463.6   527.1   606.3   736.7  1073.5  8601.1 29647.3  12516.2    12441
read      439.3   515.4    68.9   108.9   126.7   278.5   368.2   437.5   503.4   635.8  1153.6  1572.2  2049.3  3736.7 11005.5  56146.2    56208
read      464.4  1159.5    68.9   109.1   126.4   295.6   445.6   561.5   619.5   678.4   743.9   849.4  2702.2 20563.3 32352.6  17418.8    17446
read      889.0  2307.7    74.4   276.5   298.8   394.6   550.1   656.0   727.6   906.4  1541.5  1888.0 12461.8 31769.3 40938.7  86812.8    86943
read      476.0   755.7    68.9   106.3   123.6   304.1   386.9   443.3   494.6   586.9  1362.2  1725.6  2198.0  8277.8 30857.8  49050.6    49138
read      467.5   746.7    68.9   105.4   121.3   293.4   373.6   427.8   475.1   553.8  1417.9  1721.9  2092.6  7180.6 31234.6  49894.8    49839
read      463.4   659.5    63.8   105.2   121.0   294.5   374.4   430.0   480.6   572.8  1400.5  1664.8  2028.1  6493.6 20050.6  47759.4    47752
read      468.9   707.7    68.9   109.3   126.9   301.0   419.6   549.1   783.6   907.6  1012.0  1146.9  1729.8  8911.2 31192.5  27215.6    27181
read      400.5  1469.3    80.4   123.0   143.2   239.5   292.7   325.5   349.6   381.7   424.6   507.0  3633.4 29767.5 37648.2   6205.0     6170
read      307.5   724.9    74.4   118.9   139.0   234.5   287.3   318.8   343.3   373.6   414.7   480.8  1828.1 11155.9 30804.3   7138.8     7187
read      830.9  2406.5    68.9   261.6   295.5   396.5   475.7   577.6   639.7   703.2   773.9   944.5 12421.8 31845.9 40450.3  99101.6    99387
read      723.5  2002.7    86.8   289.4   308.8   413.5   484.1   588.9   653.9   715.3   793.6   924.5  8606.3 31669.5 39199.1  91865.4    91970
read      667.2  1654.8    68.9   151.8   195.7   356.9   450.3   542.6   613.6   702.5  1271.7  1749.8  6833.6 30466.6 37808.8  79713.4    79658
read      473.0   758.5    63.8   109.1   127.4   290.0   376.2   434.8   487.8   573.6  1194.1  1806.9  2498.0  6804.7 30984.8  59119.6    59230
read      762.0  1915.1    68.9   153.6   198.0   368.1   455.2   558.5   640.5   759.2  1483.4  2153.2  8380.1 31348.3 39836.6  78168.8    78081
read      498.1   879.4    68.9   112.8   134.7   305.7   385.5   440.2   493.2   585.0  1076.6  1903.1  2661.5 10456.6 31555.6  64205.2    64242
read      428.0   825.4    68.9   106.3   121.0   261.1   352.6   423.0   492.9   616.9   899.3  1233.8  2764.5  7555.2 31875.3  37623.6    37702
read      484.9  1041.8    68.9   106.7   122.0   268.0   362.0   437.9   527.4   768.4  1065.0  1426.2  3667.5 11910.1 35239.9  40866.4    40686
read      389.7   692.2    68.9   105.9   119.9   255.3   346.3   421.8   492.0   614.8   809.6  1036.9  2498.2  5095.8 32144.7  30300.8    30376
read      470.7   953.9    68.9   108.1   123.1   270.1   366.6   447.5   535.4   744.9  1012.4  1360.6  3556.7  8101.6 32378.8  38398.2    38416
read      520.1   893.0    68.9   116.0   138.5   304.7   394.4   461.9   526.6   656.8  1270.1  1893.8  2919.9  8425.0 31889.6  65814.6    65892
read      453.0   946.0    63.8   107.2   122.6   266.0   358.4   428.8   499.6   641.5   942.5  1299.4  3540.5  8516.7 32051.7  39495.0    39560
read      286.2   248.6    74.4   113.3   132.5   248.8   312.3   353.0   384.9   422.6   470.6   550.1   724.1  2576.6 12332.7  10094.8    10016
read      560.0  1201.5    68.9   113.2   133.4   304.8   396.0   469.1   549.4   775.2  1329.1  1766.7  4328.0 12350.5 35907.2  55100.0    55224
read      361.9   605.0    68.9   105.2   118.7   252.7   348.8   421.9   481.8   564.2   671.1   850.3  1717.9  6545.2 30843.3  19954.4    19982
read      565.8  1212.0    68.9   112.0   130.7   299.3   397.5   480.0   577.8   885.7  1309.6  1727.4  4378.7 12421.7 36195.1  48329.6    48114
read      396.7   688.6    68.9   105.9   120.2   255.2   342.1   409.9   476.9   585.0   818.7  1104.3  2634.0  4921.5 31452.8  36240.4    36283
read      379.2   692.0    68.9   106.0   120.3   259.1   359.5   437.1   507.9   612.9   740.1   926.1  1396.4  8606.1 31459.1  23263.4    23315
