#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      323.8   200.2    63.8   107.2   126.7   306.2   379.9   420.7   451.5   488.9   537.4   604.8   738.8  1281.7  7329.1  69984.4    70000  1622144808865  1622144828991
read      325.5   222.5    63.8   107.5   127.2   305.4   378.8   421.3   452.1   489.3   538.1   610.4   756.5  1463.5  8421.7  70143.7    70010  1622144830495  1622144850604
read      345.5   274.7    63.8   108.3   128.8   318.7   396.0   438.0   468.3   506.9   562.7   643.5   865.6  3100.5  8689.3  69948.1    70020  1622144852106  1622144872202
read      339.5   270.5    63.8   107.5   127.2   313.2   390.6   432.5   463.5   502.9   556.8   635.4   838.8  2719.8 10453.1  70060.2    70030  1622144873705  1622144893806
read      338.8   285.2    63.8   107.4   126.7   310.3   386.9   429.7   461.2   500.1   554.9   641.8   868.1  2708.8 10934.6  70139.7    70040  1622144895308  1622144915411
read      441.7   704.8    63.8   110.9   133.0   316.8   395.2   443.4   483.5   539.4   625.6   872.8  4234.8  8605.0 17088.5  70026.5    70050  1622144916915  1622144937016
read      515.9   915.3    63.8   114.0   138.6   325.4   405.7   458.5   503.7   572.4   687.7  1541.9  4645.0  9782.0 19648.8  70000.4    70060  1622144938518  1622144958621
read      540.7   981.4    63.8   113.7   139.2   326.4   409.1   465.6   514.6   586.7   719.3  1718.6  4694.6 10005.9 22667.0  70047.5    70070  1622144960127  1622144980225
read      566.6  1037.5    63.8   115.9   142.4   332.0   407.0   459.1   508.0   588.4   725.9  1968.2  4741.3 10174.6 20021.0  70079.5    70080  1622144981727  1622145001831
read      588.9  1108.6    63.8   116.7   144.6   337.7   413.3   464.8   515.5   597.4   743.2  2034.9  5200.8 11688.5 20536.2  70068.7    70090  1622145003333  1622145023433
read      572.6  1060.3    63.8   115.6   143.0   333.4   407.6   461.1   511.0   591.5   734.2  1890.4  5009.6 10432.3 20090.9  70133.3    70100  1622145024935  1622145045032
read      574.9  1067.6    63.8   117.3   145.0   334.9   408.9   461.3   512.0   594.0   732.2  1920.0  5062.2  9988.5 20129.4  70145.3    70110  1622145046536  1622145066630
read      429.7   735.0    63.8   110.0   132.1   317.9   392.4   436.5   472.5   524.1   595.8   734.2  4303.9  8768.2 19034.4  70151.9    70120  1622145068133  1622145088234
read      323.4   214.9    63.8   106.2   125.4   302.9   374.5   415.2   445.6   483.4   533.5   607.3   779.7  1921.6  7690.9  70049.5    70130  1622145089736  1622145109832
read      323.3   209.3    59.1   106.6   125.8   301.8   373.8   415.6   447.1   486.2   536.8   611.9   786.4  1851.6  7129.0  70050.3    70140  1622145111334  1622145131428
read      337.2   282.7    63.8   105.9   125.1   304.4   379.2   423.8   457.4   498.0   553.5   637.8   940.4  2830.8  8669.4  70027.8    70150  1622145132938  1622145153036
read      395.5   510.1    59.1   107.8   129.1   323.7   405.0   449.3   483.1   533.2   614.7   836.5  2125.4  5768.1 17279.8  70160.2    70160  1622145154539  1622145174640
read      336.4   274.2    59.1   106.0   125.5   304.7   379.1   421.9   453.0   491.7   545.4   629.4   990.5  2757.3  8137.2  70142.5    70170  1622145176143  1622145196247
read      398.3   533.3    63.8   108.3   129.5   305.7   385.4   433.7   472.5   524.6   599.2   797.7  2460.4  6716.9 12830.0  70098.5    70180  1622145197752  1622145217868
read      509.8   831.1    63.8   111.9   135.8   307.8   387.6   443.2   501.2   598.2   933.5  1746.6  4228.0  8550.5 20459.6  70179.8    70190  1622145219371  1622145239475
read      518.9   825.5    63.8   113.9   137.8   311.3   392.3   451.3   511.1   613.1  1002.2  1791.7  4229.8  8444.4 20092.2  70234.1    70200  1622145240977  1622145261079
read      526.9   819.4    63.8   114.6   139.2   316.8   401.3   463.1   527.7   642.2  1167.7  1785.3  4149.7  8764.1 19920.7  70257.8    70210  1622145262581  1622145282686
read      513.7   779.2    63.8   112.6   136.1   311.6   396.4   458.8   522.2   636.1  1090.5  1782.1  4038.6  8223.0 19670.2  70135.8    70220  1622145284188  1622145304290
read      520.6   810.7    63.8   113.5   137.7   314.9   397.0   457.2   518.5   629.7  1103.6  1812.4  4046.3  8424.7 21328.7  70198.3    70230  1622145305791  1622145325891
read      523.4   835.3    63.8   113.4   137.9   315.0   396.3   456.1   517.5   629.4  1088.7  1794.8  4064.3  8620.6 20063.9  70296.5    70240  1622145327393  1622145347492
read      443.1   625.5    63.8   109.4   131.0   308.3   389.5   442.6   489.2   551.6   661.7  1378.4  3580.4  7544.8 14423.1  70195.8    70250  1622145348995  1622145369111
read      331.3   240.8    59.1   105.0   124.3   307.4   376.7   418.5   451.2   493.2   548.0   632.8   856.6  2163.3  7975.3  70237.4    70260  1622145370614  1622145390714
read      330.4   205.6    63.8   106.3   125.9   312.1   383.6   424.3   455.1   493.4   543.4   618.8   796.7  1815.0  6372.2  70264.2    70270  1622145392216  1622145412305
read      350.3   273.7    63.8   106.4   126.4   317.7   390.9   433.1   466.1   508.3   568.7   671.1  1090.4  3018.8  7721.6  70201.6    70280  1622145413812  1622145433915
read      348.8   281.6    59.1   106.4   126.0   316.8   393.3   435.4   467.0   507.8   568.2   662.6  1072.2  2899.3  8346.8  70195.3    70290  1622145435418  1622145455516
read      329.7   273.0    63.8   104.0   122.3   293.0   369.5   415.5   449.4   489.9   544.1   631.8  1000.0  2640.6  8735.6  70231.7    70300  1622145457029  1622145477125
read      350.2   350.9    63.8   106.6   126.1   304.8   380.2   422.9   455.3   497.1   553.6   639.8  1658.0  4376.9 10853.5  70294.0    70310  1622145478631  1622145498741
read      377.1   470.1    63.8   107.2   127.0   309.8   385.1   428.5   463.3   510.7   578.8   692.6  2107.5  6183.9 12733.8  70224.5    70320  1622145500246  1622145520348
read      365.5   460.3    63.8   107.8   128.0   316.9   395.4   436.2   467.1   509.2   570.1   658.7  1639.1  6251.1 16855.3  70229.3    70330  1622145521850  1622145541948
read      357.3   397.5    63.8   107.7   127.2   306.8   388.6   435.4   471.0   516.9   578.7   674.1  1363.5  5214.8 12631.6  70404.7    70340  1622145543450  1622145563576
