#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      397.0   361.8    68.9   123.2   145.3   338.7   425.4   474.8   513.9   564.0   632.8   775.9  1914.5  2987.9 11071.4  60006.6    60000  1622068936428  1622068956739
read      392.4   366.7    68.9   119.0   140.2   328.4   422.6   477.6   519.4   571.2   643.4   798.7  1840.4  2958.9 10381.3  60092.4    60010  1622068958242  1622068978572
read      421.9   517.5    68.9   120.6   143.3   341.0   428.6   480.9   523.1   578.4   660.1   903.1  2134.7  5017.1 19433.8  59992.7    60020  1622068980074  1622069000340
read      669.0  1148.9    68.9   131.0   162.6   391.2   497.6   597.7   733.7  1125.6  1637.1  2076.4  3734.0 12801.8 32399.4  60082.1    60030  1622069001842  1622069022108
read      543.6   914.6    68.9   125.7   152.6   377.3   467.0   527.4   583.0   669.0   886.5  1751.9  2964.2 11503.2 31698.3  60080.5    60040  1622069023610  1622069043879
read      396.2   353.1    68.9   120.8   143.1   338.0   423.2   473.1   514.1   567.3   640.1   801.5  1846.9  2936.5  8534.9  60021.0    60050  1622069045381  1622069065659
read      393.4   338.2    68.9   120.6   143.3   343.0   427.7   475.7   513.6   562.9   629.1   749.9  1815.6  2928.7 10401.8  60052.1    60060  1622069067160  1622069087429
read      436.6   528.0    68.9   122.5   146.4   350.6   442.6   499.2   543.2   600.7   687.1   920.5  2263.3  5351.7 16172.1  60035.2    60070  1622069088931  1622069109191
read      657.6  1122.3    63.8   132.2   163.9   389.1   501.8   593.8   713.2  1027.6  1585.6  2109.0  3639.7 12725.1 32350.4  60003.0    60080  1622069110694  1622069130951
read      539.2   962.7    68.9   122.2   148.9   364.2   461.5   528.7   587.2   682.8   922.5  1728.6  2853.0 11870.4 33675.4  60045.5    60090  1622069132453  1622069152713
read      391.2   340.0    68.9   121.9   144.0   337.9   424.0   473.6   512.5   561.8   629.7   762.1  1809.6  2924.3  8784.3  60164.3    60100  1622069154216  1622069174486
read      588.5  1172.5    74.4   130.4   157.6   371.2   470.4   541.9   608.8   721.5  1024.4  1790.9  3657.6 13158.1 33338.1  60059.2    60110  1622069175989  1622069196251
read      514.9   836.0    68.9   125.1   151.9   373.1   465.8   525.7   577.9   653.9   798.3  1507.4  2876.8 10550.8 31442.3  60131.5    60120  1622069197754  1622069218012
read      401.1   406.6    68.9   121.3   143.6   337.6   424.6   475.5   515.9   566.9   636.6   794.1  1925.6  3715.2 12207.1  60093.7    60130  1622069219514  1622069239788
