#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      397.7   304.7    74.4   126.1   152.9   354.4   429.5   475.7   512.3   557.8   619.8   789.8  1415.0  2621.3  8968.6  29986.0    30000  1622071307298  1622071317639
read      415.8   377.6    68.9   127.6   155.3   364.3   446.1   497.1   537.2   587.9   659.2   836.2  1478.3  3952.7 12436.2  30021.3    30010  1622071319142  1622071329444
read      453.5   450.6    68.9   118.5   141.2   341.2   433.2   500.2   561.8   678.4  1040.4  1307.8  1630.3  4163.7 12151.1  29985.9    30020  1622071330946  1622071341214
read      408.0   399.1    68.9   126.1   150.7   349.5   432.2   484.6   526.8   579.6   652.7   867.7  1486.9  4759.7 15078.4  29966.7    30030  1622071342716  1622071352988
read      417.5   451.3    74.4   122.1   144.8   349.4   437.7   493.5   537.7   592.2   679.3   919.8  1598.3  4568.1 15566.9  30085.2    30040  1622071354491  1622071364776
read      424.1   482.0    68.9   119.6   139.7   323.6   428.8   496.0   553.4   636.3   790.3  1054.4  2119.3  5014.1 12801.0  30040.7    30050  1622071366278  1622071376541
read      372.2   447.2    68.9   113.1   133.0   308.3   398.1   452.9   494.8   547.3   623.3   801.6  1286.7  4458.7 14913.7  30067.5    30060  1622071378043  1622071388299
read      446.1   594.8    68.9   121.3   142.5   340.1   444.5   515.9   576.8   656.9   808.2  1129.9  2212.2  5426.4 28967.5  30057.7    30070  1622071389801  1622071400062
read      423.1   437.5    68.9   116.9   138.0   330.3   434.9   504.8   562.5   639.8   788.8  1058.9  1683.5  4313.0 12907.7  30109.9    30080  1622071401564  1622071411822
read      463.6   588.8    68.9   123.0   144.3   339.0   444.2   518.0   585.2   697.4   955.7  1267.1  1969.8  6248.1 25463.2  30115.6    30090  1622071413324  1622071423594
read      397.4   378.7    68.9   129.1   155.7   354.3   431.9   480.1   517.4   563.5   626.5   765.5  1334.6  3667.5 12253.5  29999.1    30100  1622071425097  1622071435375
