#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      318.0   246.3    63.8   108.1   128.1   296.5   360.3   398.1   427.3   462.2   505.6   573.2   799.8  2177.2  9544.1  29934.4    30000  1622141950846  1622141970979
read      351.3   555.2    63.8    97.9   111.9   260.6   343.7   396.2   439.5   497.3   587.5   786.6  1798.6  6408.0 20235.1  30060.1    30010  1622141972481  1622141992589
read      337.7   542.0    63.8    97.7   111.0   251.1   338.4   396.1   443.3   504.7   604.7   786.6  1199.1  7771.7 20777.6  29968.9    30020  1622141994091  1622142014195
read      352.4   557.6    63.8    98.4   112.4   257.1   349.0   408.2   456.8   521.1   626.7   820.4  1463.0  7109.6 20461.2  30104.0    30030  1622142015698  1622142035796
read      354.9   521.1    63.8    98.4   112.6   262.7   345.8   401.6   450.7   515.7   624.6   823.3  1639.3  7751.7 14573.3  30109.9    30040  1622142037299  1622142057406
read      340.3   449.4    63.8    97.4   111.0   256.2   342.0   397.7   444.0   506.9   620.6   836.5  1310.7  5925.0 15383.7  30045.7    30050  1622142058908  1622142079011
read      350.2   530.1    63.8   101.4   117.5   265.9   348.9   401.8   443.1   496.2   581.4   809.2  1364.7  6447.7 19270.7  30051.7    30060  1622142080513  1622142100613
read      363.3   523.3    63.8   100.9   116.4   268.6   357.2   414.4   458.0   517.4   626.9   885.0  1587.2  6753.7 16970.7  30001.7    30070  1622142102115  1622142122216
read      336.4   388.7    63.8    98.7   113.4   262.7   347.3   399.9   439.9   492.6   573.9   774.8  1467.0  5334.0 10684.6  30132.4    30080  1622142123718  1622142143819
read      341.9   569.5    63.8    97.2   112.0   263.7   346.3   397.5   436.3   486.8   560.3   734.0  1542.9  6536.4 24371.0  30004.3    30090  1622142145321  1622142165422
read      334.7   475.0    63.8    99.7   115.5   264.7   359.9   405.8   436.8   476.1   535.9   684.6  1423.3  6412.3 18027.0  30071.5    30100  1622142166926  1622142187024
read      327.0   365.3    59.1   101.5   117.9   275.4   348.8   398.4   439.3   483.7   534.4   635.1  1280.9  5560.3 12938.3  30108.6    30110  1622142188532  1622142208635
read      319.9   212.9    59.1   109.9   131.0   301.4   364.7   402.3   431.6   467.9   516.6   580.8   756.9  1765.2  7626.4  30154.7    30120  1622142210137  1622142230234
read      379.5   559.8    63.8   107.9   127.8   299.8   375.7   424.7   463.2   513.5   604.8   883.3  1397.7  8298.9 20151.4  30129.0    30130  1622142231736  1622142251832
read      480.0   642.7    63.8   105.5   125.4   305.1   419.3   544.7   783.4   929.0  1051.1  1200.8  2164.9  8732.9 18139.0  30149.4    30140  1622142253335  1622142273434
read      521.8   887.9    63.8   106.0   126.2   311.2   429.9   566.1   810.5   955.6  1078.3  1241.9  3145.2 13263.5 24590.4  30158.1    30150  1622142274936  1622142295041
read      506.3   869.0    63.8   105.9   125.5   302.9   418.5   539.2   777.0   945.4  1052.4  1204.0  2751.9 13006.9 23967.9  30129.9    30160  1622142296546  1622142316640
read      494.5   806.2    63.8   105.4   125.2   304.2   413.0   526.8   769.5   942.6  1069.3  1213.6  2481.3 12402.6 24026.5  30177.1    30170  1622142318143  1622142338237
read      469.3   678.8    63.8   105.6   124.7   297.0   404.7   523.1   754.5   916.7  1046.6  1182.2  1870.7 10489.0 19990.0  30161.8    30180  1622142339742  1622142359840
read      489.1   767.0    63.8   106.1   125.4   297.8   409.3   546.2   773.8   923.9  1045.8  1212.0  2675.3 11473.3 21653.1  30206.2    30190  1622142361342  1622142381441
read      511.1   883.1    63.8   106.7   126.7   305.5   417.1   544.4   785.0   945.3  1070.5  1245.7  2915.9 13465.5 25456.1  30215.4    30200  1622142382943  1622142403043
read      489.0   849.7    63.8   106.3   125.5   299.2   404.8   529.6   765.6   920.6  1045.4  1194.2  2665.6 11678.9 25671.8  30152.5    30210  1622142404545  1622142424651
read      504.1   915.1    63.8   105.7   123.9   297.6   411.4   543.1   773.1   924.5  1048.2  1204.6  2931.3 14552.4 25265.4  30168.4    30220  1622142426153  1622142446252
read      504.6   831.5    63.8   106.2   125.8   298.7   410.5   545.9   783.4   936.4  1058.2  1216.2  3165.7 12208.0 20605.3  30232.7    30230  1622142447754  1622142467850
